Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Ifitm7,ENSMUSG00000065968,1921732,G3X9Z2,Interferon-induced transmembrane protein 7,Effector,RestrFact,,no info,defense/immunity protein(PC00090),"integral component of membrane,membrane,plasma membrane,early endosome membrane,lysosomal membrane",molecular_function,NA,NA,RestrFact
Isg15,ENSMUSG00000035692,1855694,Q64339,Ubiquitin-like protein ISG15,Effector,RestrFact,,Ubiquitin-like protein which plays a key role in the innate immune response to viral infection either via its conjugation to a target protein (ISGylation) or via its action as a free or unconjugated protein. ,NA,"cytoplasm,nucleus,extracellular region,cytosolic small ribosomal subunit","protein binding,ubiquitin protein ligase binding,structural constituent of ribosome,integrin binding,protein tag",NA,NA,RestrFact
N4bp1,ENSMUSG00000031652,2136825,Q6A037,NEDD4-binding protein 1,Effector,RestrFact,,Potent suppressor of cytokine production that acts as a regulator of innate immune signaling and inflammation. … Acts as a restriction factor against some viruses: restricts viral replication by binding to mRNA viruses and mediating their degradation via its ribonuclease activity (By similarity).,endoribonuclease(PC00094),"nucleus,cytoplasm,cytosol,nucleolus,PML body","RNA binding,protein binding,mRNA binding,hydrolase activity,nuclease activity,ribonuclease activity,ubiquitin binding",NA,NA,NA
Rnasel,ENSMUSG00000066800,1098272,Q05921,2-5A-dependent ribonuclease,Effector,RestrFact,,"Endoribonuclease that functions in the interferon (IFN) antiviral response. In INF treated and virus infected cells, RNASEL probably mediates its antiviral effects through a combination of direct cleavage of single-stranded viral RNAs, inhibition of protein synthesis through the degradation of rRNA, induction of apoptosis, and induction of other antiviral genes.",endoribonuclease(PC00094),"cytoplasm,mitochondrion,nuclear matrix","ATP binding,protein binding,protein kinase activity,ribonuclease activity,RNA binding,ribonucleoprotein complex binding,metal ion binding,hydrolase activity,nucleotide binding,nuclease activity,identical protein binding,endonuclease activity,rRNA binding,protein serine/threonine kinase activity,endoribonuclease activity",NA,NA,RestrFact
Samhd1,ENSMUSG00000027639,1927468,Q60710,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1,Effector,RestrFact,,"Protein that acts both as a host restriction factor involved in defense response to virus and as a regulator of DNA end resection at stalled replication forks (By similarity). Has deoxynucleoside triphosphate (dNTPase) activity, which is required to restrict infection by viruses: dNTPase activity reduces cellular dNTP levels to levels too low for retroviral reverse transcription to occur, blocking early-stage virus replication in dendritic and other myeloid cells (PubMed:23972988, PubMed:23872947, PubMed:26667483,",hydrolase(PC00121),"nucleus,nucleoplasm,chromosome,plasma membrane,site of double-strand break,tetraspanin-enriched microdomain","protein binding,RNA binding,metal ion binding,hydrolase activity,catalytic activity,nucleotide binding,zinc ion binding,nucleic acid binding,GTP binding,single-stranded DNA binding,identical protein binding,ribonuclease activity,dGTPase activity,triphosphoric monoester hydrolase activity,dGTP binding,deoxynucleoside triphosphate hydrolase activity",NA,NA,RestrFact
Serinc3,ENSMUSG00000017707,1349457,Q9QZI9,Serine incorporator 3,Effector,RestrFact,,Restriction factor required to restrict infectivity of gammaretroviruses: acts by inhibiting early step of viral infection and impairing the ability of the viral particle to translocate its content to the cytoplasm.,protein-binding activity modulator(PC00095),"membrane,Golgi membrane,Golgi apparatus,plasma membrane",NA,NA,NA,RestrFact
Serinc5,ENSMUSG00000021703,2444223,Q8BHJ6,Serine incorporator 5,Effector,RestrFact,,Restriction factor required to restrict infectivity of gammaretroviruses: acts by inhibiting early step of viral infection and impairing the ability of the viral particle to translocate its content to the cytoplasm (By similarity).,protein-binding activity modulator(PC00095),"membrane,cytosol,plasma membrane,Golgi apparatus,intracellular membrane-bounded organelle,centrosome,myelin sheath",NA,NA,NA,RestrFact
Trim11,ENSMUSG00000020455,2137355,Q99PQ2,E3 ubiquitin-protein ligase TRIM11,Effector,RestrFact,,"May contribute to the innate restriction of retroviruses (PubMed:18248090). Upon overexpression, reduces HIV-1 and murine leukemia virus infectivity, by suppressing viral gene expression (PubMed:18248090). Antiviral activity depends on a functional E3 ubiquitin-protein ligase domain (PubMed:18248090).",ubiquitin-protein ligase(PC00234),"nucleus,cytosol,cytoplasm,nucleoplasm","zinc ion binding,metal ion binding,protein binding,transferase activity,ubiquitin protein ligase activity,ubiquitin-protein transferase activity,protein domain specific binding,transcription factor binding",NA,TFcofactor,RestrFact
Trim12a,ENSMUSG00000066258,1923931,Q99PQ1,Tripartite motif-containing protein 12A,Effector,RestrFact,,"orthologous to TRIM5; wo SPRY (see Trim12c). Wikipedia (Trim5): TRIM5α is present in the cytosol. It recognizes motifs within viral capsid proteins, which causes the TRIM5α to smother the (not yet uncoated) capsid in a reticulatory way so as to form a repeating regular hexagonal net, two sides of each hexagon being made up of two spokes of a three-way hub and spoke trimer[11] and consequently to interfere with the viral capsid uncoating process, thereby preventing (1) transport of the viral genome to the host cell nucleus and (2) successful reverse transcription",ubiquitin-protein ligase(PC00234),"cytoplasm,P-body,nucleoplasm,cytosol,omegasome","zinc ion binding,ubiquitin-protein transferase activity,metal ion binding,identical protein binding,protein-macromolecule adaptor activity,protein homodimerization activity,ubiquitin protein ligase activity,protein kinase binding,transcription coactivator activity,pattern recognition receptor activity",NA,NA,signaling
Trim2,ENSMUSG00000027993,1933163,Q9ESN6,Tripartite motif-containing protein 2,Effector,RestrFact,,Plays a role in antiviral immunity and limits new world arenavirus infection independently of its ubiquitin ligase activity by decreasing virus internalization (PubMed:30726215).,ubiquitin-protein ligase(PC00234),cytoplasm,"zinc ion binding,protein binding,transferase activity,metal ion binding,ubiquitin protein ligase activity,ubiquitin-protein transferase activity,myosin binding",NA,NA,RestrFact
