Gene,GeneStableID,MGI_ID,UniProtID,GeneName,Category1,Subcategory,Comments,UniProt_function,PANTHER_ProteinClass,GO_CellularComponent,GO_MolecularFunction,KEGG_CytoChemoReceptor,TFdb_TranscrFact,PRRs_and_Effectors
Hsp90ab1,ENSMUSG00000023944,96247,P11499,Heat shock protein HSP 90-beta,intracellSignaling,,chaperone,"Molecular chaperone that promotes the maturation, structural maintenance and proper regulation of specific target proteins involved for instance in cell cycle control and signal transduction. … Antagonizes STUB1-mediated inhibition of TGF-beta signaling via inhibition of STUB1-mediated SMAD3 ubiquitination and degradation. Promotes cell differentiation by chaperoning BIRC2 and thereby protecting from auto-ubiquitination and degradation by the proteasomal machinery. Main chaperone involved in the phosphorylation/activation of the STAT1 by chaperoning both JAK2 and PRKCE under heat shock and in turn, activates its own transcription. Involved in the translocation into ERGIC (endoplasmic reticulum-Golgi intermediate compartment) of leaderless cargos (lacking the secretion signal sequence) such as the interleukin 1/IL-1;",Hsp90 family chaperone(PC00028),"mitochondrion,nucleus,cytosol,cytoplasm,membrane,plasma membrane,protein-containing complex,cell surface,extracellular region,apical plasma membrane,melanosome,inclusion body,basolateral plasma membrane,lysosomal membrane,dynein axonemal particle,brush border membrane,perinuclear region of cytoplasm,sperm head plasma membrane,ooplasm,aryl hydrocarbon receptor complex,COP9 signalosome,neuronal cell body,dendritic growth cone,axonal growth cone,HSP90-CDC37 chaperone complex","ATP binding,unfolded protein binding,ATP hydrolysis activity,ATP-dependent protein folding chaperone,protein binding,nucleotide binding,identical protein binding,protein homodimerization activity,kinase binding,double-stranded RNA binding,GTP binding,transmembrane transporter binding,peptide binding,histone deacetylase binding,histone methyltransferase binding,heat shock protein binding,ubiquitin protein ligase binding,protein dimerization activity,UTP binding,disordered domain specific binding,heterocyclic compound binding,DNA polymerase binding,ATP-dependent protein binding,protein kinase binding,CTP binding,sulfonylurea receptor binding,nitric-oxide synthase regulator activity,TPR domain binding,dATP binding,protein folding chaperone,protein kinase regulator activity,tau protein binding",NA,NA,NA
Hspa1a,ENSMUSG00000091971,96244,Q61696,Heat shock 70 kDa protein 1A,intracellSignaling,,chaperone,"Molecular chaperone implicated in a wide variety of cellular processes, … Enhances STUB1-mediated SMAD3 ubiquitination and degradation and facilitates STUB1-mediated inhibition of TGF-beta signaling. Essential for STUB1-mediated ubiquitination and degradation of FOXP3 in regulatory T-cells (Treg) during inflammation. ",Hsp70 family chaperone(PC00027),"mitochondrion,nucleus,nuclear speck,ribonucleoprotein complex,cytosol,cytoplasm,plasma membrane,protein-containing complex,perinuclear region of cytoplasm,microtubule organizing center,extracellular region,apical plasma membrane,cytoskeleton,inclusion body,basolateral plasma membrane,centrosome,aggresome,centriole,membrane raft,COP9 signalosome","ATP binding,ATP-dependent protein folding chaperone,nucleotide binding,ATP hydrolysis activity,signaling receptor binding,protein binding,protease binding,ubiquitin protein ligase binding,G protein-coupled receptor binding,histone deacetylase binding,transcription corepressor activity,enzyme binding,protein N-terminus binding,heat shock protein binding,NF-kappaB binding,unfolded protein binding,disordered domain specific binding,protein folding chaperone,transcription regulator inhibitor activity,misfolded protein binding,C3HC4-type RING finger domain binding,ATP-dependent protein disaggregase activity,denatured protein binding",NA,TFcofactor,NA
Pin1,ENSMUSG00000032171,1346036,Q9QUR7,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1,intracellSignaling,,chaperone,"… Upon IL33-induced lung inflammation, catalyzes cis-trans isomerization of phosphorylated IRAK3/IRAK-M, inducing IRAK3 stabilization, nuclear translocation and expression of pro-inflammatory genes in dendritic cells",chaperone(PC00072),"mitochondrion,nucleus,cytosol,cytoplasm,nucleoplasm,glutamatergic synapse,neuron projection,nuclear speck,midbody,ciliary basal body,postsynaptic cytosol","protein binding,peptidyl-prolyl cis-trans isomerase activity,isomerase activity,beta-catenin binding,GTPase activating protein binding,mitogen-activated protein kinase kinase binding,phosphoserine residue binding,cis-trans isomerase activity,phosphothreonine residue binding,cytoskeletal motor activity,phosphoprotein binding",NA,TFcofactor,NA
Nlrp3,ENSMUSG00000032691,2653833,Q8R4B8,"NACHT, LRR and PYD domains-containing protein 3",intracellSignaling,,DAMP sensor,"Sensor component of the NLRP3 inflammasome, which mediates inflammasome activation in response to defects in membrane integrity, leading to secretion of inflammatory cytokines IL1B and IL18 and pyroptosis. In response to pathogens and other damage-associated signals that affect the integrity of membranes, initiates the formation of the inflammasome polymeric complex composed of NLRP3, CASP1 and PYCARD/ASC. Recruitment of pro-caspase-1 (proCASP1) to the NLRP3 inflammasome promotes caspase-1 (CASP1) activation, which subsequently cleaves and activates inflammatory cytokines IL1B and IL18 and gasdermin-D (GSDMD), promoting cytokine secretion and pyroptosis. Activation of NLRP3 inflammasome is also required for HMGB1 secretion; stimulating inflammatory responses (By similarity). NLRP3 activation stimuli include extracellular ATP, nigericin, reactive oxygen species, crystals of monosodium urate or cholesterol, amyloid-beta fibers, environmental or industrial particles and nanoparticles, such as asbestos, silica, aluminum salts, cytosolic dsRNA, etc. Almost all stimuli trigger intracellular K+ efflux (By similarity).",defense/immunity protein(PC00090),"cytoplasm,nucleus,membrane,endoplasmic reticulum,mitochondrion,cytosol,microtubule organizing center,extracellular region,inflammasome complex,Golgi membrane,NLRP3 inflammasome complex,interphase microtubule organizing center","protein binding,sequence-specific DNA binding,nucleotide binding,ATP binding,identical protein binding,DNA-binding transcription factor binding,phosphatidylinositol-4-phosphate binding,ATP hydrolysis activity,ADP binding,signaling adaptor activity,phosphatidylinositol phosphate binding,small molecule sensor activity",NA,TFcofactor,scaffold/adaptor
Cdc42,ENSMUSG00000006699,106211,P60766,Cell division control protein 42 homolog,intracellSignaling,,GTPase,Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. … Also plays a role in phagocytosis through organization of the F-actin cytoskeleton associated with forming phagocytic cups,small GTPase(PC00208),"cytosol,cytoplasm,membrane,cell periphery,plasma membrane,protein-containing complex,microtubule organizing center,cytoskeleton,cell projection,glutamatergic synapse,dendrite,cell-cell junction,filopodium,neuron projection,apical part of cell,neuronal cell body,spindle,midbody,secretory granule,Golgi membrane,membrane-bounded organelle,centrosome,dendritic spine,lamellipodium membrane,phagocytic vesicle,cell leading edge,myelin sheath,mitotic spindle,cytoplasmic ribonucleoprotein granule,Schaffer collateral - CA1 synapse,spindle midzone,leading edge membrane,storage vacuole,Golgi transport complex","GTPase activity,GTP binding,protein binding,hydrolase activity,nucleotide binding,identical protein binding,protein kinase binding,G protein activity,ubiquitin protein ligase activity,apolipoprotein A-I receptor binding,mitogen-activated protein kinase kinase kinase binding,thioesterase binding,GTP-dependent protein binding,GBD domain binding",NA,NA,NA
Hras,ENSMUSG00000025499,96224,Q61411,GTPase HRas,intracellSignaling,,GTPase,Ras proteins bind GDP/GTP and possess intrinsic GTPase activity.,small GTPase(PC00208),"membrane,cytosol,nucleoplasm,Golgi membrane,Golgi apparatus,plasma membrane,intracellular membrane-bounded organelle,glutamatergic synapse,GTPase complex","GTPase activity,GTP binding,protein binding,protein-containing complex binding,hydrolase activity,nucleotide binding,protein serine/threonine kinase activator activity,GDP binding,G protein activity,protein-membrane adaptor activity,protein C-terminus binding",NA,NA,NA
Irgm1,ENSMUSG00000046879,107567,Q60766,Immunity-related GTPase family M protein 1,intracellSignaling,,GTPase,"Immunity-related GTPase that plays important roles in innate immunity and inflammatory response. Acts as a dynamin-like protein that binds to intracellular membranes and promotes remodeling and trafficking of those membranes. Required for clearance of acute protozoan and bacterial infections by interacting with autophagy and lysosome regulatory proteins, thereby promoting the fusion of phagosomes with lysosomes for efficient degradation of cargo including microbes. ... While activating autophagy, acts as a key negative regulator of the inflammatory and interferon responses both by 1 promoting mitophagy and 2 mediating autophagy-dependent degradation of effectors of the inflammatory response. ...",NA,"membrane,mitochondrion,cytosol,Golgi membrane,Golgi apparatus,plasma membrane,autophagosome,cytoplasmic vesicle,cell projection,lysosome,endoplasmic reticulum,endosome,late endosome,lysosomal membrane,late endosome membrane,phagocytic vesicle membrane,autophagosome membrane,endoplasmic reticulum membrane,phagocytic vesicle,phagocytic cup,autolysosome","GTP binding,hydrolase activity,nucleotide binding,GTPase activity,protein kinase binding,protein serine/threonine kinase activator activity,CARD domain binding,BH3 domain binding",NA,NA,NA
Kras,ENSMUSG00000030265,96680,P32883,GTPase KRas,intracellSignaling,,GTPase,Ras proteins bind GDP/GTP and possess intrinsic GTPase activity (By similarity). Plays an important role in the regulation of cell proliferation.,small GTPase(PC00208),"membrane,mitochondrion,cytoplasm,plasma membrane,endomembrane system,membrane raft,extrinsic component of cytoplasmic side of plasma membrane","GTPase activity,GTP binding,protein-containing complex binding,hydrolase activity,nucleotide binding,protein binding,identical protein binding,protein serine/threonine kinase activator activity,GDP binding,G protein activity,protein-membrane adaptor activity,GMP binding,LRR domain binding",NA,NA,NA
Nras,ENSMUSG00000027852,97376,P08556,GTPase NRas,intracellSignaling,,GTPase,Ras proteins bind GDP/GTP and possess intrinsic GTPase activity.,small GTPase(PC00208),"membrane,Golgi apparatus","GTPase activity,GTP binding,protein-containing complex binding",NA,NA,NA
Rab10,ENSMUSG00000020671,105066,P61027,Ras-related protein Rab-10,intracellSignaling,,GTPase,"The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes (By similarity).",NA,"cytoplasm,membrane,Golgi apparatus,plasma membrane,endoplasmic reticulum,endoplasmic reticulum membrane,perinuclear region of cytoplasm,cytoplasmic vesicle,cytoplasmic vesicle membrane,intracellular membrane-bounded organelle,cytoskeleton,cell projection,cilium,endosome,trans-Golgi network,recycling endosome,endosome membrane,phagocytic vesicle membrane,synaptic vesicle membrane,synaptic vesicle,recycling endosome membrane,exocyst,endoplasmic reticulum tubular network,insulin-responsive compartment,exocytic vesicle","GTPase activity,GTP binding,protein binding,hydrolase activity,nucleotide binding,GDP binding,G protein activity,myosin V binding,GDP-dissociation inhibitor binding",NA,NA,NA
Rab27a,ENSMUSG00000032202,1861441,Q9ERI2,Ras-related protein Rab-27A,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"cytoplasm,membrane,Golgi apparatus,apical plasma membrane,lysosome,intracellular membrane-bounded organelle,endosome,endomembrane system,late endosome,melanosome,dendrite,secretory granule,secretory granule membrane,exocytic vesicle,Weibel-Palade body,photoreceptor outer segment,multivesicular body membrane","GTPase activity,GTP binding,protein binding,hydrolase activity,nucleotide binding,protein domain specific binding,GDP binding,G protein activity,myosin V binding",NA,NA,NA
Rab44,ENSMUSG00000064147,3045302,Q8CB87,Ras-related protein Rab-44,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"membrane,plasma membrane,cellular_component","GTPase activity,GTP binding,nucleotide binding,molecular_function",NA,NA,NA
Rab5b,ENSMUSG00000000711,105938,P61021,Ras-related protein Rab-5B,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"extracellular exosome,membrane,plasma membrane,intracellular membrane-bounded organelle,endosome,melanosome,early endosome membrane,synaptic vesicle membrane,endocytic vesicle,early endosome,endomembrane system","GTPase activity,GTP binding,hydrolase activity,nucleotide binding,protein binding,GTP-dependent protein binding,GDP binding,G protein activity",NA,NA,NA
Rab6a,ENSMUSG00000030704,894313,P35279,Ras-related protein Rab-6A,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"cytosol,membrane,Golgi membrane,Golgi apparatus,acrosomal membrane,cytoplasmic vesicle,trans-Golgi network,presynapse,endomembrane system,endosome to plasma membrane transport vesicle","GTPase activity,GTP binding,protein binding,nucleotide binding,ATPase binding,protein domain specific binding,protein N-terminus binding,ATPase activator activity,myosin V binding",NA,NA,NA
Rac1,ENSMUSG00000001847,97845,P63001,Ras-related C3 botulinum toxin substrate 1,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"nucleus,cytosol,cytoplasm,membrane,plasma membrane,synapse,cell cortex,cell projection,dendrite,lamellipodium,cytoplasmic vesicle,melanosome,glutamatergic synapse,early endosome membrane,Golgi membrane,recycling endosome membrane,ruffle membrane,pericentriolar material,dendritic spine,phagocytic cup,trans-Golgi network,cytoskeleton,postsynapse,GABA-ergic synapse,cytoplasmic ribonucleoprotein granule,actin filament,extrinsic component of cytoplasmic side of plasma membrane,kinocilium","GTPase activity,GTP binding,protein binding,protein-containing complex binding,hydrolase activity,nucleotide binding,small GTPase binding,protein kinase binding,ATPase binding,G protein activity,histone deacetylase binding,enzyme binding,molecular adaptor activity,Rho GDP-dissociation inhibitor binding,thioesterase binding,GTP-dependent protein binding",NA,NA,NA
Rac2,ENSMUSG00000033220,97846,Q05144,Ras-related C3 botulinum toxin substrate 2,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"cytosol,cytoplasm,membrane,plasma membrane,cell cortex,lamellipodium,cytoplasmic vesicle,nuclear envelope,cell projection,cytoskeleton,actin filament","GTPase activity,GTP binding,nucleotide binding,protein kinase binding,protein kinase regulator activity",NA,NA,NA
Rap1a,ENSMUSG00000068798,97852,P62835,Ras-related protein Rap-1A,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"membrane,cytoplasm,cell junction,plasma membrane,perinuclear region of cytoplasm,neuron projection,anchoring junction,endosome,early endosome,late endosome,presynapse,glutamatergic synapse,guanyl-nucleotide exchange factor complex,phagocytic vesicle,myelin sheath,sperm midpiece","GTPase activity,GTP binding,protein binding,protein-containing complex binding,hydrolase activity,nucleotide binding,guanyl-nucleotide exchange factor activity,small GTPase binding,G protein activity,GDP binding",NA,NA,NA
Rap1b,ENSMUSG00000052681,894315,Q99JI6,Ras-related protein Rap-1b,intracellSignaling,,GTPase,NA,small GTPase(PC00208),"membrane,cytosol,cytoplasm,plasma membrane,glutamatergic synapse,cell-cell junction,anchoring junction,lipid droplet","GTPase activity,GTP binding,protein binding,protein-containing complex binding,hydrolase activity,nucleotide binding,GDP binding,G protein activity",NA,NA,NA
Rhoa,ENSMUSG00000007815,1096342,Q9QUI0,Transforming protein RhoA,intracellSignaling,,GTPase,"Small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state (PubMed:14697203). Mainly associated with cytoskeleton organization, in active state binds to a variety of effector proteins to regulate cellular responses such as cytoskeletal dynamics, cell migration and cell cycle. Regulates a signal transduction pathway linking plasma membrane receptors to the assembly of focal adhesions and actin stress fibers. Involved in a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis",small GTPase(PC00208),"mitochondrion,nucleus,cytosol,cytoplasm,axon,membrane,plasma membrane,cell periphery,cell cortex,cytoskeleton,cell projection,dendrite,lamellipodium,endosome,cytoplasmic vesicle,midbody,cleavage furrow,glutamatergic synapse,dendritic spine,vesicle,postsynapse,apical junction complex,ruffle membrane,extrinsic component of cytoplasmic side of plasma membrane","GTPase activity,GTP binding,protein binding,hydrolase activity,nucleotide binding,protein kinase binding,protein domain specific binding,GDP binding,G protein activity,myosin binding,Rho GDP-dissociation inhibitor binding",NA,TFcofactor,NA
Inpp5d,ENSMUSG00000026288,107357,Q9ES52,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",intracellSignaling,,other enzyme,"Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3) to produce PtdIns(3,4)P2, thereby negatively regulating the PI3K (phosphoinositide 3-kinase) pathways. ... Acts as a negative regulator of B-cell antigen receptor signaling. Mediates signaling from the FC-gamma-RIIB receptor (FCGR2B), playing a central role in terminating signal transduction from activating immune/hematopoietic cell receptor systems. Acts as a negative regulator of myeloid cell proliferation/survival and chemotaxis, mast cell degranulation, immune cells homeostasis, integrin alpha-IIb/beta-3 signaling in platelets and JNK signaling in B-cells. Regulates proliferation of osteoclast precursors, macrophage programming, phagocytosis and activation and is required for endotoxin tolerance. Involved in the control of cell-cell junctions, CD32a signaling in neutrophils and modulation of EGF-induced phospholipase C activity. Key regulator of neutrophil migration, by governing the formation of the leading edge and polarization required for chemotaxis. Modulates FCGR3/CD16-mediated cytotoxicity in NK cells. Mediates the activin/TGF-beta-induced apoptosis through its Smad-dependent expression",NA,"cytosol,cytoplasm,membrane,plasma membrane,membrane raft,cytoskeleton,cortical cytoskeleton,actin filament","catalytic activity,phosphatase activity,protein binding,inositol-polyphosphate 5-phosphatase activity,hydrolase activity,inositol-1,4,5-trisphosphate 5-phosphatase activity,inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity,SH3 domain binding,phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity,phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity,inositol-4,5-bisphosphate 5-phosphatase activity",NA,NA,NA
Inppl1,ENSMUSG00000032737,1333787,Q6P549,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2",intracellSignaling,,other enzyme,"Phosphatidylinositol (PtdIns) phosphatase that specifically hydrolyzes the 5-phosphate of phosphatidylinositol-3,4,5-trisphosphate (PtdIns(3,4,5)P3) to produce PtdIns(3,4)P2, thereby negatively regulating the PI3K (phosphoinositide 3-kinase) pathways. ... Down-regulates Fc-gamma-R-mediated phagocytosis in macrophages independently of INPP5D/SHIP1 (PubMed:15557176, PubMed:16179375). In macrophages, down-regulates NF-kappa-B-dependent gene transcription by regulating macrophage colony-stimulating factor (M-CSF)-induced signaling (PubMed:15557176, PubMed:16179375).",NA,"cytosol,cytoplasm,nucleus,membrane,plasma membrane,Golgi apparatus,cytoskeleton,cell projection,lamellipodium,filopodium,nuclear speck,spindle pole,basal plasma membrane","protein binding,catalytic activity,phosphatase activity,hydrolase activity,actin binding,SH3 domain binding,phosphatidylinositol-3,4,5-trisphosphate binding,SH2 domain binding,inositol-polyphosphate 5-phosphatase activity,phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity",NA,NA,NA
Nos2,ENSMUSG00000020826,97361,P29477,"Nitric oxide synthase, inducible",intracellSignaling,,other enzyme,"Produces nitric oxide (NO) which is a messenger molecule with diverse functions throughout the body. … Involved in inflammation, enhances the synthesis of pro-inflammatory mediators such as IL6 and IL8. ",oxidoreductase(PC00176),"nucleus,cytosol,cytoplasm,plasma membrane,extracellular space,perinuclear region of cytoplasm,cortical cytoskeleton,peroxisome,vesicle membrane","flavin adenine dinucleotide binding,oxidoreductase activity,FMN binding,heme binding,NADP binding,calmodulin binding,nitric-oxide synthase activity,protein binding,metal ion binding,identical protein binding,protein kinase binding,actin binding,beta-catenin binding,cadherin binding,nitric-oxide synthase binding,protein homodimerization activity,Hsp90 protein binding,cAMP-dependent protein kinase regulator activity,tetrahydrobiopterin binding,arginine binding",NA,NA,NA
Nos3,ENSMUSG00000028978,97362,P70313,"Nitric oxide synthase, endothelial",intracellSignaling,,other enzyme,Produces nitric oxide (NO) which is implicated in vascular smooth muscle relaxation through a cGMP-mediated signal transduction pathway.,oxidoreductase(PC00176),"mitochondrion,nucleus,nucleolus,cytosol,cytoplasm,membrane,Golgi apparatus,plasma membrane,cytoskeleton,apical part of cell,sarcolemma,caveola,membrane raft,vesicle membrane","flavin adenine dinucleotide binding,oxidoreductase activity,FMN binding,heme binding,NADP binding,calmodulin binding,nitric-oxide synthase activity,metal ion binding,protein binding,actin binding,actin monomer binding,beta-catenin binding,cadherin binding,scaffold protein binding,nitric-oxide synthase binding,Hsp90 protein binding,tetrahydrobiopterin binding,arginine binding",NA,NA,NA
Padi4,ENSMUSG00000025330,1338898,Q9Z183,Protein-arginine deiminase type-4,intracellSignaling,,other enzyme,"Catalyzes the citrullination/deimination of arginine residues of proteins such as histones, thereby playing a key role in histone code and regulation of stem cell maintenance. … Required for the formation of neutrophil extracellular traps (NETs).","chromatin/chromatin-binding, or -regulatory protein(PC00077)","cytoplasm,nucleus,protein-containing complex","calcium ion binding,protein-arginine deiminase activity,metal ion binding,hydrolase activity,identical protein binding,histone-arginine deiminase activity (H3-R26 specific),histone-arginine deiminase activity,histone-arginine deiminase activity (H3-R2 specific),histone-arginine deiminase activity (H3-R8 specific),histone-arginine deiminase activity (H3-R17 specific)",NA,TFcofactor,NA
Pde12,ENSMUSG00000043702,2443226,Q3TIU4,"2',5'-phosphodiesterase 12",intracellSignaling,,other enzyme,"Enzyme that cleaves 2',5'-phosphodiester bond linking adenosines of the 5'-triphosphorylated oligoadenylates, triphosphorylated oligoadenylates referred as 2-5A modulates the 2-5A system. Degrades triphosphorylated 2-5A to produce AMP and ATP. Also cleaves 3',5'-phosphodiester bond of oligoadenylates. Plays a role as a negative regulator of the 2-5A system that is one of the major pathways for antiviral and antitumor functions induced by interferons (IFNs). Suppression of this enzyme increases cellular 2-5A levels and decreases viral replication in cultured small-airway epithelial cells.",mRNA polyadenylation factor(PC00146),"mitochondrion,mitochondrial matrix","catalytic activity,metal ion binding,hydrolase activity,nuclease activity,exonuclease activity,poly(A)-specific ribonuclease activity,3'-5'-exoribonuclease activity",NA,NA,NA
Pla2g2d,ENSMUSG00000041202,1341796,Q9WVF6,Group IID secretory phospholipase A2,intracellSignaling,,other enzyme,"Secretory calcium-dependent phospholipase A2 that primarily targets extracellular lipids, exerting anti-inflammatory and immunosuppressive functions (PubMed:10531313, PubMed:23690440, PubMed:26392224, PubMed:10455175). Hydrolyzes the ester bond of the fatty acyl group attached at sn-2 position of phospholipids (phospholipase A2 activity) with preference for phosphatidylethanolamines and phosphatidylglycerols over phosphatidylcholines (By similarity). In draining lymph nodes, selectively hydrolyzes diacyl and alkenyl forms of phosphatidylethanolamines, releasing omega-3 polyunsaturated fatty acids (PUFAs) such as eicosapentaenoate and docosahexaenoate that are precursors of the anti-inflammatory lipid mediators, resolvins (PubMed:23690440). During the resolution phase of acute inflammation drives docosahexaenoate-derived resolvin D1 synthesis, which suppresses dendritic cell activation and T-helper 1 immune response (PubMed:23690440, PubMed:27226632). May act in an autocrine and paracrine manner. Via a mechanism independent of its catalytic activity, promotes differentiation of regulatory T cells (Tregs) and participates in the maintenance of immune tolerance (PubMed:19564598). May contribute to lipid remodeling of cellular membranes and generation of lipid mediators involved in pathogen clearance. Displays bactericidal activity against Gram-positive bacteria by directly hydrolyzing phospholipids of the bacterial membrane (PubMed:11694541).",phospholipase(PC00186),"cytoplasm,membrane,plasma membrane,extracellular region","calcium ion binding,phospholipase A2 activity,metal ion binding,hydrolase activity,heparin binding,phospholipid binding,heparan sulfate proteoglycan binding,calcium-dependent phospholipase A2 activity",NA,NA,NA
Plcb1,ENSMUSG00000051177,97613,Q9Z1B3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1",intracellSignaling,,other enzyme,"Catalyzes the hydrolysis of 1-phosphatidylinositol 4,5-bisphosphate into diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) and mediates intracellular signaling downstream of G protein-coupled receptors (PubMed:27653213). Regulates the function of the endothelial barrier (PubMed:27653213).",phospholipase(PC00186),"nucleus,cytoplasm,nuclear speck,cytosol,membrane,cellular anatomical entity,protein-containing complex,plasma membrane,glutamatergic synapse,nuclear membrane,myelin sheath,GABA-ergic synapse,chromatin,postsynaptic cytosol","calcium ion binding,phosphatidylinositol phospholipase C activity,phosphoric diester hydrolase activity,hydrolase activity,calmodulin binding,identical protein binding,protein serine/threonine kinase activator activity,channel activator activity,GTPase activator activity,enzyme binding,protein binding,phosphatidylinositol-4,5-bisphosphate binding,calcium channel regulator activity,ion channel regulator activity involved in G protein-coupled receptor signaling pathway,lamin binding",NA,NA,NA
Plcg1,ENSMUSG00000016933,97615,Q62077,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1",intracellSignaling,,other enzyme,"Mediates the production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3). Plays an important role in the regulation of intracellular signaling cascades. Becomes activated in response to ligand-mediated activation of receptor-type tyrosine kinases, such as PDGFRA, PDGFRB, EGFR, FGFR1, FGFR2, FGFR3 and FGFR4 (By similarity).",phospholipase(PC00186),"cytosol,cytoplasm,cellular anatomical entity,plasma membrane,cell projection,membrane,glutamatergic synapse,lamellipodium,cell-cell junction,neuron projection,ruffle,Schaffer collateral - CA1 synapse,ruffle membrane,COP9 signalosome,clathrin-coated vesicle","metal ion binding,hydrolase activity,calcium ion binding,phosphatidylinositol phospholipase C activity,phosphoric diester hydrolase activity,protein binding,protein kinase binding,insulin receptor binding,phospholipase C activity,receptor tyrosine kinase binding,glutamate receptor binding,phosphoprotein binding,neurotrophin TRKA receptor binding,calcium-dependent phospholipase C activity",NA,NA,NA
Plcg2,ENSMUSG00000034330,97616,Q8CIH5,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2",intracellSignaling,,other enzyme,"The production of the second messenger molecules diacylglycerol (DAG) and inositol 1,4,5-trisphosphate (IP3) is mediated by activated phosphatidylinositol-specific phospholipase C enzymes. It is a crucial enzyme in transmembrane signaling.",phospholipase(PC00186),"cytoplasm,plasma membrane,cellular anatomical entity,perinuclear region of cytoplasm,cytosol,membrane,ruffle membrane,intracellular vesicle","protein binding,phosphatidylinositol phospholipase C activity,phosphoric diester hydrolase activity,hydrolase activity,protein kinase binding,phosphotyrosine residue binding,protein tyrosine kinase binding,phospholipase C activity,scaffold protein binding,phosphorylation-dependent protein binding",NA,NA,NA
Pld1,ENSMUSG00000027695,109585,Q9Z280,Phospholipase D1,intracellSignaling,,other enzyme,"Function as phospholipase selectivefor phosphatidylcholine (PubMed:9395408). Implicated as a critical step in numerous cellular pathways, including signal transduction, membrane trafficking, and the regulation of mitosis. May be involved in the regulation of perinuclear intravesicular membrane traffic",phospholipase(PC00186),"cytoplasm,intracellular membrane-bounded organelle,endomembrane system,organelle membrane,endosome,Golgi apparatus,apical plasma membrane,endocytic vesicle,cholinergic synapse,intracellular organelle","catalytic activity,phosphatidylinositol binding,phospholipase D activity,hydrolase activity,N-acylphosphatidylethanolamine-specific phospholipase D activity",NA,NA,NA
Pld2,ENSMUSG00000020828,892877,P97813,Phospholipase D2,intracellSignaling,,other enzyme,Function as phospholipase selective for phosphatidylcholine (PubMed:21085684). May have a role in signal-induced cytoskeletal regulation and/or endocytosis,phospholipase(PC00186),"nucleus,cytoplasm,membrane,plasma membrane,Golgi apparatus,intracellular membrane-bounded organelle,lamellipodium,sarcolemma,endomembrane system,endoplasmic reticulum membrane,organelle membrane,caveola,brush border membrane,intracellular organelle","catalytic activity,phosphatidylinositol binding,phospholipase D activity,hydrolase activity,protein kinase C binding,N-acylphosphatidylethanolamine-specific phospholipase D activity",NA,NA,NA
Pld3,ENSMUSG00000003363,1333782,O35405,5'-3' exonuclease PLD3,intracellSignaling,,other enzyme,"5'->3' DNA exonuclease which digests single-stranded DNA (ssDNA) (PubMed:30111894). Regulates inflammatory cytokine responses via the degradation of nucleic acids, by reducing the concentration of ssDNA able to stimulate TLR9, a nucleotide-sensing receptor in collaboration with PLD4.",phospholipase(PC00186),"cytoplasm,membrane,Golgi membrane,Golgi apparatus,endoplasmic reticulum,endoplasmic reticulum membrane,lysosome,early endosome membrane,endosome,intracellular organelle,lysosomal membrane,endosome membrane,late endosome membrane,organelle membrane,lysosomal lumen","catalytic activity,hydrolase activity,nuclease activity,exonuclease activity,phospholipase D activity,single-stranded DNA 5'-3' exodeoxyribonuclease activity",NA,NA,NA
