"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSGALP00010044355","ENSGALG00010029639","CCLI8","","antimicrobial humoral immune response mediated by antimicrobial peptide; eosinophil chemotaxis; immune response","Chicken","biomartGO"
"ENSGALP00010044358","ENSGALG00010029641","","","immune response","Chicken","biomartGO"
"ENSGALP00010044521","ENSGALG00010029698","NUP85","nucleoporin 85 [Source:NCBI gene (formerly Entrezgene);Acc:422120]","macrophage chemotaxis","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044523","ENSGALG00010029698","NUP85","nucleoporin 85 [Source:NCBI gene (formerly Entrezgene);Acc:422120]","","Chicken","AvianImmunome"
"ENSGALP00010044539","ENSGALG00010029705","GRB2","growth factor receptor bound protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:386572]","B cell receptor signaling pathway; T cell activation; T cell costimulation","Chicken","biomartGO"
"ENSGALP00010044566","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044567","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044568","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044569","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044570","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044571","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044572","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044573","ENSGALG00010029718","ABR","ABR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:A0A8V1ALV5]","","Chicken","AvianImmunome"
"ENSGALP00010044588","ENSGALG00010029723","ADORA2B","adenosine A2b receptor [Source:NCBI gene (formerly Entrezgene);Acc:395971]","mast cell degranulation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044615","ENSGALG00010029734","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A8V1APZ5]","","Chicken","AvianImmunome"
"ENSGALP00010044616","ENSGALG00010029734","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A8V1APZ5]","cytoplasmic pattern recognition receptor signaling pathway; immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044617","ENSGALG00010029734","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A8V1APZ5]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044618","ENSGALG00010029734","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A8V1APZ5]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044619","ENSGALG00010029734","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A8V1APZ5]","immune system process; innate immune response","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044718","ENSGALG00010029771","SOX9","SRY-box 9 [Source:NCBI gene (formerly Entrezgene);Acc:374148]","","Chicken","AvianImmunome"
"ENSGALP00010044720","ENSGALG00010029773","TRIM65","tripartite motif containing 65 [Source:UniProtKB Gene Name;Acc:A0A8V1AQ52]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010044721","ENSGALG00010029773","TRIM65","tripartite motif containing 65 [Source:UniProtKB Gene Name;Acc:A0A8V1AQ52]","immune system process; innate immune response","Chicken","biomartGO"
"ENSGALP00010044734","ENSGALG00010029781","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A8V1AKS7]","","Chicken","AvianImmunome"
"ENSGALP00010044735","ENSGALG00010029781","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A8V1AKS7]","","Chicken","AvianImmunome"
"ENSGALP00010044736","ENSGALG00010029781","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A8V1AKS7]","natural killer cell degranulation","Chicken","biomartGO; AvianImmunome"
"ENSGALP00010044737","ENSGALG00010029781","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A8V1AKS7]","","Chicken","AvianImmunome"
"ENSGALP00010044738","ENSGALG00010029781","UNC13D","unc-13 homolog D [Source:UniProtKB Gene Name;Acc:A0A8V1AKS7]","","Chicken","AvianImmunome"
