"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000001327","ENSTGUG00000001287","PPP2CA","protein phosphatase 2 catalytic subunit alpha [Source:UniProtKB Gene Name;Acc:H0YSR6]","T cell homeostasis","ZebraFinch","biomartGO"
"ENSTGUP00000001336","ENSTGUG00000001295","TCF7","transcription factor 7 [Source:UniProtKB Gene Name;Acc:A0A674HUD8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001343","ENSTGUG00000001298","VIM","vimentin [Source:UniProtKB Gene Name;Acc:A0A674GLN2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001359","ENSTGUG00000001315","FNIP1","folliculin interacting protein 1 [Source:UniProtKB Gene Name;Acc:A0A674H109]","B cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001418","ENSTGUG00000001375","IRF1","interferon regulatory factor 1 [Source:UniProtKB Gene Name;Acc:H0YT07]","CD8-positive, alpha-beta T cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001424","ENSTGUG00000001381","ADORA1","adenosine A1 receptor [Source:UniProtKB Gene Name;Acc:H0YT13]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001426","ENSTGUG00000001384","","","B cell activation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001432","ENSTGUG00000001389","TXLNA","taxilin alpha [Source:UniProtKB Gene Name;Acc:A0A674GSA5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001461","ENSTGUG00000001418","LCK","LCK proto-onco, Src family tyrosine kinase [Source:UniProtKB Gene Name;Acc:H0YT50]","B cell receptor signaling pathway; T cell activation; T cell differentiation; T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001489","ENSTGUG00000001445","ZMPSTE24","zinc metallopeptidase STE24 [Source:UniProtKB Gene Name;Acc:H0YT77]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001556","ENSTGUG00000001504","SLC7A11","solute carrier family 7 member 11 [Source:UniProtKB Gene Name;Acc:A0A674GS84]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001558","ENSTGUG00000001514","CALCR","calcitonin receptor [Source:UniProtKB Gene Name;Acc:A0A674GCQ8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001567","ENSTGUG00000001516","RIGI","RNA sensor RIG-I [Source:UniProtKB Gene Name;Acc:H0YTF4]","RIG-I signaling pathway; cytoplasmic pattern recognition receptor signaling pathway; immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001587","ENSTGUG00000001542","","","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001591","ENSTGUG00000001543","","interleukin-8 [Source:NCBI gene;Acc:100222345]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001596","ENSTGUG00000028843","EREG","epiregulin [Source:UniProtKB Gene Name;Acc:H0YTI3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001597","ENSTGUG00000001539","","","complement activation, classical pathway; immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000001619","ENSTGUG00000001570","LCP2","lymphocyte cytosolic protein 2 [Source:UniProtKB Gene Name;Acc:H0YTK6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001622","ENSTGUG00000001570","LCP2","lymphocyte cytosolic protein 2 [Source:UniProtKB Gene Name;Acc:H0YTK6]","T cell receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001635","ENSTGUG00000001580","ANKRD17","ankyrin repeat domain 17 [Source:UniProtKB Gene Name;Acc:H0YTM2]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001638","ENSTGUG00000001588","CSF3R","colony stimulating factor 3 receptor [Source:UniProtKB Gene Name;Acc:H0YTM5]","neutrophil chemotaxis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001645","ENSTGUG00000001587","EPG5","ectopic P-granules 5 autophagy tethering factor [Source:UniProtKB Gene Name;Acc:H0YTN2]","innate immune response; mucosal immune response; toll-like receptor 9 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000001651","ENSTGUG00000001599","STING1","stimulator of interferon response cGAMP interactor 1 [Source:UniProtKB Gene Name;Acc:H0YTN8]","activation of innate immune response; cGAS/STING signaling pathway; cytoplasmic pattern recognition receptor signaling pathway; innate immune response; pattern recognition receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001675","ENSTGUG00000001628","PURA","purine rich element binding protein A [Source:UniProtKB Gene Name;Acc:H0YTR0]","lymphocyte proliferation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000001693","ENSTGUG00000001633","MAPK14","mitogen-activated protein kinase 14 [Source:UniProtKB Gene Name;Acc:A0A674HL95]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000001712","ENSTGUG00000001661","JCHAIN","joining chain of multimeric IgA and IgM [Source:NCBI gene (formerly Entrezgene);Acc:100217545]","","ZebraFinch","AvianImmunome"
