"ProteinID","GeneID","GeneSymbol","Description","GO_Terms","Species","Immune_Source"
"ENSTGUP00000023540","ENSTGUG00000007491","NFKB2","nuclear factor kappa B subunit 2 [Source:UniProtKB Gene Name;Acc:H0ZB25]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023558","ENSTGUG00000023110","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000023565","ENSTGUG00000028386","","","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000023567","ENSTGUG00000004159","CDC73","cell division cycle 73 [Source:UniProtKB Gene Name;Acc:A0A674GIB3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023579","ENSTGUG00000025203","IL18R1","interleukin 18 receptor 1 [Source:UniProtKB Gene Name;Acc:A0A674GLC5]","T-helper 1 cell differentiation; natural killer cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000023581","ENSTGUG00000009539","PTPN2","protein tyrosine phosphatase non-receptor type 2 [Source:UniProtKB Gene Name;Acc:A0A674GM91]","B cell differentiation; T cell differentiation","ZebraFinch","biomartGO"
"ENSTGUP00000023584","ENSTGUG00000012663","PTK2","protein tyrosine kinase 2 [Source:UniProtKB Gene Name;Acc:A0A674HM44]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023670","ENSTGUG00000002529","PARK7","Parkinsonism associated deglycase [Source:NCBI gene (formerly Entrezgene);Acc:100190506]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023671","ENSTGUG00000010768","STAT1","signal transducer and activator of transcription 1 [Source:UniProtKB Gene Name;Acc:A0A674GMH8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023689","ENSTGUG00000012931","ZBTB1","zinc finger and BTB domain containing 1 [Source:UniProtKB Gene Name;Acc:H0ZRS1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023712","ENSTGUG00000011084","IPO5","importin 5 [Source:UniProtKB Gene Name;Acc:A0A674GMR7]","cytoplasmic pattern recognition receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000023719","ENSTGUG00000028417","","class I histocompatibility antigen, F10 alpha chain-like [Source:NCBI gene;Acc:115493083]","antigen processing and presentation of peptide antigen via MHC class I; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000023748","ENSTGUG00000002932","TAX1BP1","Tax1 binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GG51]","cytoplasmic pattern recognition receptor signaling pathway; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000023758","ENSTGUG00000001315","FNIP1","folliculin interacting protein 1 [Source:UniProtKB Gene Name;Acc:A0A674H109]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023766","ENSTGUG00000023595","EFNB2","ephrin B2 [Source:UniProtKB Gene Name;Acc:H0ZKL4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023797","ENSTGUG00000006079","JAG1","jagged canonical Notch ligand 1 [Source:UniProtKB Gene Name;Acc:A0A674GMZ6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023838","ENSTGUG00000027092","","","antibacterial humoral response; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000023904","ENSTGUG00000004006","RAF1","Raf-1 proto-onco, serine/threonine kinase [Source:UniProtKB Gene Name;Acc:A0A674GY88]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023912","ENSTGUG00000019967","FBN1","fibrillin 1 [Source:UniProtKB Gene Name;Acc:A0A674HC31]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023963","ENSTGUG00000003950","GAB3","GRB2 associated binding protein 3 [Source:UniProtKB Gene Name;Acc:A0A674GM85]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000023967","ENSTGUG00000019166","","","adaptive immune response; antigen processing and presentation; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000023994","ENSTGUG00000002342","DCLRE1C","DNA cross-link repair 1C [Source:UniProtKB Gene Name;Acc:A0A674GKR1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024009","ENSTGUG00000008082","GNAS","GNAS complex locus [Source:UniProtKB Gene Name;Acc:A0A674GMQ0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024034","ENSTGUG00000013525","ACP6","acid phosphatase 6, lysophosphatidic [Source:UniProtKB Gene Name;Acc:H0ZTI0]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024046","ENSTGUG00000008001","AMPD3","adenosine monophosphate deaminase 3 [Source:UniProtKB Gene Name;Acc:A0A674GYB3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024081","ENSTGUG00000029470","","","adaptive immune response; antigen processing and presentation; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000024099","ENSTGUG00000025134","PTN","pleiotrophin [Source:UniProtKB Gene Name;Acc:H0ZMT9]","leukocyte chemotaxis involved in inflammatory response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024160","ENSTGUG00000005894","MYO1E","myosin IE [Source:UniProtKB Gene Name;Acc:H0Z6E4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024168","ENSTGUG00000021048","","","leukocyte migration","ZebraFinch","biomartGO"
"ENSTGUP00000024169","ENSTGUG00000006263","USP15","ubiquitin specific peptidase 15 [Source:UniProtKB Gene Name;Acc:A0A674GN71]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024173","ENSTGUG00000004989","ADAM9","ADAM metallopeptidase domain 9 [Source:UniProtKB Gene Name;Acc:A0A674GMS1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024175","ENSTGUG00000008137","VEGFA","vascular endothelial growth factor A [Source:UniProtKB Gene Name;Acc:A0A674HBF7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024177","ENSTGUG00000012663","PTK2","protein tyrosine kinase 2 [Source:UniProtKB Gene Name;Acc:A0A674HM44]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024178","ENSTGUG00000008911","PREX1","phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GMS6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024186","ENSTGUG00000027039","","","T cell activation","ZebraFinch","biomartGO"
"ENSTGUP00000024189","ENSTGUG00000026616","DACT2","dishevelled binding antagonist of beta catenin 2 [Source:UniProtKB Gene Name;Acc:A0A674GN93]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024196","ENSTGUG00000012821","TRAF3","TNF receptor associated factor 3 [Source:UniProtKB Gene Name;Acc:A0A674GP11]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024199","ENSTGUG00000009976","CTSH","cathepsin H [Source:UniProtKB Gene Name;Acc:H0ZI75]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024226","ENSTGUG00000004090","RC3H1","ring finger and CCCH-type domains 1 [Source:UniProtKB Gene Name;Acc:A0A674HJV4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024238","ENSTGUG00000023943","TRAF6","TNF receptor associated factor 6 [Source:UniProtKB Gene Name;Acc:A0A674GMY7]","T cell receptor signaling pathway; antigen processing and presentation of exogenous peptide antigen via MHC class II; cytoplasmic pattern recognition receptor signaling pathway; immune response; immune system process; innate immune response; myeloid dendritic cell differentiation; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024244","ENSTGUG00000007259","PPP6C","protein phosphatase 6 catalytic subunit [Source:UniProtKB Gene Name;Acc:H0ZA80]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000024245","ENSTGUG00000022035","SLC26A6","solute carrier family 26 member 6 [Source:UniProtKB Gene Name;Acc:A0A674GPB6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024246","ENSTGUG00000007182","SLC7A2","solute carrier family 7 member 2 [Source:UniProtKB Gene Name;Acc:A0A674GP60]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024286","ENSTGUG00000019166","","","adaptive immune response; antigen processing and presentation; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000024289","ENSTGUG00000023253","","","B cell differentiation; B cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000024290","ENSTGUG00000003652","PIK3CD","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:UniProtKB Gene Name;Acc:A0A674GPG1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024299","ENSTGUG00000012352","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:UniProtKB Gene Name;Acc:A0A674HKK1]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024346","ENSTGUG00000022035","SLC26A6","solute carrier family 26 member 6 [Source:UniProtKB Gene Name;Acc:A0A674GPB6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024351","ENSTGUG00000007748","SEC14L1","SEC14 like lipid binding 1 [Source:UniProtKB Gene Name;Acc:A0A674GAY2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024365","ENSTGUG00000012821","TRAF3","TNF receptor associated factor 3 [Source:UniProtKB Gene Name;Acc:A0A674GP11]","innate immune response; toll-like receptor 4 signaling pathway; toll-like receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024372","ENSTGUG00000027855","MSRB1","methionine sulfoxide reductase B1 [Source:UniProtKB Gene Name;Acc:A0A674GPM4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024376","ENSTGUG00000023595","EFNB2","ephrin B2 [Source:UniProtKB Gene Name;Acc:H0ZKL4]","T cell costimulation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024453","ENSTGUG00000020023","","","antigen processing and presentation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000024458","ENSTGUG00000009259","CD81","CD81 molecule [Source:UniProtKB Gene Name;Acc:A0A674GYL1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024463","ENSTGUG00000006078","IL34","interleukin 34 [Source:NCBI gene (formerly Entrezgene);Acc:100499188]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024465","ENSTGUG00000000764","ZMYND11","zinc finger MYND-type containing 11 [Source:UniProtKB Gene Name;Acc:A0A674GPY7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024473","ENSTGUG00000029733","IMPDH1","inosine monophosphate dehydrogenase 1 [Source:UniProtKB Gene Name;Acc:A0A674GD18]","lymphocyte proliferation","ZebraFinch","biomartGO"
"ENSTGUP00000024485","ENSTGUG00000015557","DYSF","dysferlin [Source:UniProtKB Gene Name;Acc:A0A674GQ04]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024495","ENSTGUG00000028688","EGR3","early growth response 3 [Source:UniProtKB Gene Name;Acc:A0A674GQ15]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024503","ENSTGUG00000002531","KAT2A","lysine acetyltransferase 2A [Source:UniProtKB Gene Name;Acc:A0A674H2N8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024505","ENSTGUG00000025671","RBFOX2","RNA binding fox-1 homolog 2 [Source:UniProtKB Gene Name;Acc:A0A674GQ24]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024509","ENSTGUG00000004333","SGPL1","sphingosine-1-phosphate lyase 1 [Source:UniProtKB Gene Name;Acc:H0Z1P2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024514","ENSTGUG00000020693","IGFBP2","insulin like growth factor binding protein 2 [Source:UniProtKB Gene Name;Acc:A0A674GPA4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024520","ENSTGUG00000002982","PIK3R1","phosphoinositide-3-kinase regulatory subunit 1 [Source:UniProtKB Gene Name;Acc:H0YXT8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024554","ENSTGUG00000005373","RABGEF1","RAB guanine nucleotide exchange factor 1 [Source:UniProtKB Gene Name;Acc:A0A674GEX2]","mast cell degranulation; mast cell migration","ZebraFinch","biomartGO"
"ENSTGUP00000024562","ENSTGUG00000005595","DNAJB9","DnaJ heat shock protein family (Hsp40) member B9 [Source:UniProtKB Gene Name;Acc:A0A674GQ52]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024600","ENSTGUG00000020407","","","adaptive immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000024602","ENSTGUG00000002516","DHX58","DExH-box helicase 58 [Source:UniProtKB Gene Name;Acc:A0A674GQ97]","cytoplasmic pattern recognition receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024608","ENSTGUG00000028371","","","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000024631","ENSTGUG00000004276","WASL","WASP like actin nucleation promoting factor [Source:UniProtKB Gene Name;Acc:H0Z1K4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024647","ENSTGUG00000005932","IRAK4","interleukin 1 receptor associated kinase 4 [Source:UniProtKB Gene Name;Acc:A0A674GVR7]","neutrophil mediated immunity; neutrophil migration; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000024660","ENSTGUG00000013095","BMP4","bone morphotic protein 4 [Source:UniProtKB Gene Name;Acc:A0A674GQH4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024707","ENSTGUG00000003117","STXBP1","syntaxin binding protein 1 [Source:UniProtKB Gene Name;Acc:A0A674GQL2]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024728","ENSTGUG00000028632","YY1","YY1 transcription factor [Source:UniProtKB Gene Name;Acc:A0A674GPA0]","B cell differentiation; immunoglobulin heavy chain V-D-J recombination","ZebraFinch","biomartGO"
"ENSTGUP00000024780","ENSTGUG00000005051","IL5","interleukin 5 [Source:UniProtKB Gene Name;Acc:H0Z3Q1]","immune response","ZebraFinch","biomartGO"
"ENSTGUP00000024789","ENSTGUG00000006911","XRCC4","X-ray repair cross complementing 4 [Source:UniProtKB Gene Name;Acc:H0Z963]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024792","ENSTGUG00000022111","BNIP3","BCL2 interacting protein 3 [Source:UniProtKB Gene Name;Acc:A0A674GQU4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024794","ENSTGUG00000007056","PPP3CB","protein phosphatase 3 catalytic subunit beta [Source:UniProtKB Gene Name;Acc:H0Z9N8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024803","ENSTGUG00000003069","RNF213","ring finger protein 213 [Source:UniProtKB Gene Name;Acc:A0A674GZS2]","immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000024822","ENSTGUG00000011998","FYN","FYN proto-onco, Src family tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674GHS3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024823","ENSTGUG00000021089","CHST3","carbohydrate sulfotransferase 3 [Source:UniProtKB Gene Name;Acc:A0A674HGS5]","T cell homeostasis","ZebraFinch","biomartGO"
"ENSTGUP00000024831","ENSTGUG00000000417","NFIL3","nuclear factor, interleukin 3 regulated [Source:UniProtKB Gene Name;Acc:H0YQ71]","natural killer cell differentiation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024840","ENSTGUG00000013149","PUM2","pumilio RNA binding family member 2 [Source:UniProtKB Gene Name;Acc:A0A674GR00]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024849","ENSTGUG00000003221","DAPK2","death associated protein kinase 2 [Source:UniProtKB Gene Name;Acc:A0A674GQ96]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024861","ENSTGUG00000005805","ADTRP","androgen dependent TFPI regulating protein [Source:UniProtKB Gene Name;Acc:A0A674GQY1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024865","ENSTGUG00000012588","LGMN","legumain [Source:UniProtKB Gene Name;Acc:A0A674H3Y5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024871","ENSTGUG00000025222","RPS24","ribosomal protein S24 [Source:UniProtKB Gene Name;Acc:A0A674G7P9]","erythrocyte homeostasis","ZebraFinch","biomartGO"
"ENSTGUP00000024880","ENSTGUG00000008522","SOX6","SRY-box transcription factor 6 [Source:UniProtKB Gene Name;Acc:H0ZDZ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024889","ENSTGUG00000012068","ABCC9","ATP binding cassette subfamily C member 9 [Source:UniProtKB Gene Name;Acc:A0A674GQD6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024892","ENSTGUG00000009988","BCR","BCR activator of RhoGEF and GTPase [Source:UniProtKB Gene Name;Acc:H0ZIB3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024897","ENSTGUG00000001656","ANKHD1","ankyrin repeat and KH domain containing 1 [Source:UniProtKB Gene Name;Acc:A0A674HDP8]","innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000024902","ENSTGUG00000012588","LGMN","legumain [Source:UniProtKB Gene Name;Acc:A0A674H3Y5]","antigen processing and presentation of exogenous peptide antigen via MHC class II","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024924","ENSTGUG00000017273","","class I histocompatibility antigen, F10 alpha chain-like [Source:NCBI gene;Acc:115493126]","antigen processing and presentation of peptide antigen via MHC class I; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000024932","ENSTGUG00000020023","","","antigen processing and presentation; immune response","ZebraFinch","biomartGO"
"ENSTGUP00000024943","ENSTGUG00000011056","LYN","LYN proto-onco, Src family tyrosine kinase [Source:UniProtKB Gene Name;Acc:H0ZLG0]","B cell homeostasis; B cell receptor signaling pathway; Fc receptor mediated stimulatory signaling pathway; toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024951","ENSTGUG00000002245","IKZF3","IKAROS family zinc finger 3 [Source:UniProtKB Gene Name;Acc:H0YVJ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024958","ENSTGUG00000005688","NHEJ1","non-homologous end joining factor 1 [Source:UniProtKB Gene Name;Acc:H0Z5J9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000024983","ENSTGUG00000026277","C3","complement C3 [Source:UniProtKB Gene Name;Acc:A0A674GPZ0]","B cell activation; complement activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000024987","ENSTGUG00000009710","RNF185","ring finger protein 185 [Source:NCBI gene (formerly Entrezgene);Acc:100190044]","cGAS/STING signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000024999","ENSTGUG00000024068","TTC4","tetratricopeptide repeat domain 4 [Source:UniProtKB Gene Name;Acc:A0A674GQP6]","innate immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025030","ENSTGUG00000000599","ETS1","ETS proto-onco 1, transcription factor [Source:UniProtKB Gene Name;Acc:H0YQQ4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025034","ENSTGUG00000019634","F11R","F11 receptor [Source:UniProtKB Gene Name;Acc:A0A674GQT3]","memory T cell extravasation","ZebraFinch","biomartGO"
"ENSTGUP00000025057","ENSTGUG00000022829","HMGB3","high mobility group box 3 [Source:UniProtKB Gene Name;Acc:A0A674HDL3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025061","ENSTGUG00000006134","FARP2","FERM, ARH/RhoGEF and pleckstrin domain protein 2 [Source:UniProtKB Gene Name;Acc:A0A674GXH6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025081","ENSTGUG00000012120","KLF10","KLF transcription factor 10 [Source:UniProtKB Gene Name;Acc:A0A674GRL8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025084","ENSTGUG00000007342","INPP5D","inositol polyphosphate-5-phosphatase D [Source:UniProtKB Gene Name;Acc:A0A674GGP8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025086","ENSTGUG00000013615","NFKBIZ","NFKB inhibitor zeta [Source:UniProtKB Gene Name;Acc:H0ZTS3]","B cell receptor apoptotic signaling pathway; B cell receptor signaling pathway; T cell differentiation; T cell mediated immunity; T cell receptor signaling pathway; T-helper 1 cell differentiation; T-helper 17 cell differentiation; adaptive immune response; immunoglobulin mediated immune response; isotype switching; lymphocyte activation involved in immune response; toll-like receptor signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025112","ENSTGUG00000001020","ZEB1","zinc finger E-box binding homeobox 1 [Source:UniProtKB Gene Name;Acc:A0A674GRP4]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025122","ENSTGUG00000000240","","","positive thymic T cell selection","ZebraFinch","biomartGO"
"ENSTGUP00000025125","ENSTGUG00000004581","RPS17","ribosomal protein S17 [Source:NCBI gene (formerly Entrezgene);Acc:100190658]","erythrocyte homeostasis","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025130","ENSTGUG00000006436","BCAR1","BCAR1 scaffold protein, Cas family member [Source:UniProtKB Gene Name;Acc:H0Z7T4]","B cell receptor signaling pathway; antigen receptor-mediated signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025153","ENSTGUG00000008382","ITGA6","integrin subunit alpha 6 [Source:UniProtKB Gene Name;Acc:H0ZDU7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025168","ENSTGUG00000001897","ITGA9","integrin subunit alpha 9 [Source:UniProtKB Gene Name;Acc:A0A674HEU5]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025170","ENSTGUG00000004937","SRC","SRC proto-onco, non-receptor tyrosine kinase [Source:UniProtKB Gene Name;Acc:A0A674GRY1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025175","ENSTGUG00000010082","REV1","REV1 DNA directed polymerase [Source:UniProtKB Gene Name;Acc:A0A674G7J6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025187","ENSTGUG00000017231","NOTCH2","notch receptor 2 [Source:UniProtKB Gene Name;Acc:H1A3Q6]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025191","ENSTGUG00000012380","BACH2","BTB domain and CNC homolog 2 [Source:UniProtKB Gene Name;Acc:A0A674G808]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025223","ENSTGUG00000009976","CTSH","cathepsin H [Source:UniProtKB Gene Name;Acc:H0ZI75]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025254","ENSTGUG00000019166","","","adaptive immune response; antigen processing and presentation; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000025255","ENSTGUG00000028872","","ubiquitin-like protein 7 [Source:NCBI gene;Acc:105758606]","immune system process; innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000025263","ENSTGUG00000005502","MSH2","mutS homolog 2 [Source:UniProtKB Gene Name;Acc:H0Z563]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025267","ENSTGUG00000003839","UBE2F","ubiquitin conjugating enzyme E2 F (putative) [Source:UniProtKB Gene Name;Acc:H0Z074]","innate immune response","ZebraFinch","biomartGO"
"ENSTGUP00000025282","ENSTGUG00000001004","EEF2","eukaryotic translation elongation factor 2 [Source:UniProtKB Gene Name;Acc:H0YRX1]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025288","ENSTGUG00000011996","NMI","N-myc and STAT interactor [Source:UniProtKB Gene Name;Acc:A0A674GQT6]","toll-like receptor 4 signaling pathway","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025294","ENSTGUG00000005487","ANLN","anillin, actin binding protein [Source:UniProtKB Gene Name;Acc:A0A674GRL7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025312","ENSTGUG00000001504","SLC7A11","solute carrier family 7 member 11 [Source:UniProtKB Gene Name;Acc:A0A674GS84]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025321","ENSTGUG00000001389","TXLNA","taxilin alpha [Source:UniProtKB Gene Name;Acc:A0A674GSA5]","B cell activation","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025327","ENSTGUG00000024519","VPS26B","VPS26 retromer complex component B [Source:UniProtKB Gene Name;Acc:A0A674GS98]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025343","ENSTGUG00000012284","LCP1","lymphocyte cytosolic protein 1 [Source:UniProtKB Gene Name;Acc:A0A674H7D8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025355","ENSTGUG00000002825","TGFB2","transforming growth factor beta 2 [Source:UniProtKB Gene Name;Acc:A0A674H6E7]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025393","ENSTGUG00000028916","DYRK3","dual specificity tyrosine phosphorylation regulated kinase 3 [Source:UniProtKB Gene Name;Acc:A0A674GSH3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025397","ENSTGUG00000005502","MSH2","mutS homolog 2 [Source:UniProtKB Gene Name;Acc:H0Z563]","somatic recombination of immunoglobulin genes involved in immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025422","ENSTGUG00000024912","TNFRSF11A","TNF receptor superfamily member 11a [Source:UniProtKB Gene Name;Acc:A0A674GSP9]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025425","ENSTGUG00000020198","SCAP","SREBF chaperone [Source:UniProtKB Gene Name;Acc:A0A674GRZ9]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025466","ENSTGUG00000025888","TNFSF11","TNF superfamily member 11 [Source:UniProtKB Gene Name;Acc:A0A674GSR8]","immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025476","ENSTGUG00000011495","MYB","MYB proto-onco, transcription factor [Source:UniProtKB Gene Name;Acc:A0A674HPV3]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025483","ENSTGUG00000026427","","","antigen processing and presentation of peptide antigen via MHC class I; immune response; immune system process","ZebraFinch","biomartGO"
"ENSTGUP00000025510","ENSTGUG00000000289","STK10","serine/threonine kinase 10 [Source:UniProtKB Gene Name;Acc:A0A674GS92]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025523","ENSTGUG00000013229","PLA2G7","phospholipase A2 group VII [Source:UniProtKB Gene Name;Acc:A0A674GHF8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025534","ENSTGUG00000002306","TSPAN6","tetraspanin 6 [Source:UniProtKB Gene Name;Acc:H0YVQ8]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025539","ENSTGUG00000013214","TNFRSF21","TNF receptor superfamily member 21 [Source:UniProtKB Gene Name;Acc:H0ZSK9]","T cell receptor signaling pathway; adaptive immune response; humoral immune response","ZebraFinch","biomartGO; AvianImmunome"
"ENSTGUP00000025575","ENSTGUG00000027866","UBE2N","ubiquitin conjugating enzyme E2 N [Source:NCBI gene (formerly Entrezgene);Acc:100190537]","T cell receptor signaling pathway","ZebraFinch","biomartGO"
"ENSTGUP00000025583","ENSTGUG00000000986","GPATCH3","G-patch domain containing 3 [Source:UniProtKB Gene Name;Acc:A0A674GA47]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025586","ENSTGUG00000027554","RHOH","ras homolog family member H [Source:UniProtKB Gene Name;Acc:A0A674GT38]","","ZebraFinch","AvianImmunome"
"ENSTGUP00000025594","ENSTGUG00000008001","AMPD3","adenosine monophosphate deaminase 3 [Source:UniProtKB Gene Name;Acc:A0A674GYB3]","","ZebraFinch","AvianImmunome"
