ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000126884,ENSMUSG00000033016,Nfatc1,"nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1 [Source:MGI Symbol;Acc:MGI:102469]",DNA binding; DNA-binding transcription factor activity; calcineurin-NFAT signaling cascade; cellular response to metal ion; cytoplasm; nucleus; positive regulation of transcription by RNA polymerase II; regulation of DNA-templated transcription; transcription by RNA polymerase II,Mouse
ENSMUSP00000126901,ENSMUSG00000091055,Siglec15,sialic acid binding Ig-like lectin 15 [Source:MGI Symbol;Acc:MGI:3646642],membrane; plasma membrane; protein binding; protein-containing complex; regulation of actin cytoskeleton organization; regulation of bone resorption; regulation of osteoclast development,Mouse
ENSMUSP00000126905,ENSMUSG00000006932,Ctnnb1,catenin beta 1 [Source:MGI Symbol;Acc:MGI:88276],,Mouse
ENSMUSP00000127006,ENSMUSG00000068227,Il2rb,"interleukin 2 receptor, beta chain [Source:MGI Symbol;Acc:MGI:96550]",cytokine receptor activity; cytokine-mediated signaling pathway; immunoglobulin mediated immune response; interleukin-15 receptor activity; interleukin-15-mediated signaling pathway; interleukin-2 binding; interleukin-2 receptor activity; interleukin-2-mediated signaling pathway; membrane; negative regulation of apoptotic process; plasma membrane; positive regulation of phagocytosis; protein binding,Mouse
ENSMUSP00000127021,ENSMUSG00000029771,Irf5,interferon regulatory factor 5 [Source:MGI Symbol;Acc:MGI:1350924],"DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; RNA polymerase II cis-regulatory region sequence-specific DNA binding; cellular response to muramyl dipeptide; cellular response to peptidoglycan; cellular response to virus; cytokine-mediated signaling pathway; cytoplasm; defense response to virus; identical protein binding; immune system process; inflammatory response; innate immune response; nucleus; positive regulation of apoptotic process; positive regulation of cytokine production involved in immune response; positive regulation of transcription by RNA polymerase II; protein binding; protein kinase binding; regulation of DNA-templated transcription; regulation of transcription by RNA polymerase II; sequence-specific DNA binding; sequence-specific double-stranded DNA binding; transcription cis-regulatory region binding",Mouse
ENSMUSP00000127024,ENSMUSG00000029530,Ccr9,C-C motif chemokine receptor 9 [Source:MGI Symbol;Acc:MGI:1341902],C-C chemokine binding; C-C chemokine receptor activity; G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; calcium-mediated signaling; cell chemotaxis; chemokine receptor activity; chemokine-mediated signaling pathway; chemotaxis; immune response; membrane; plasma membrane; positive regulation of cytosolic calcium ion concentration; protein binding; signal transduction,Mouse
ENSMUSP00000127138,ENSMUSG00000057977,Skint11,selection and upkeep of intraepithelial T cells 11 [Source:MGI Symbol;Acc:MGI:2685415],T cell receptor signaling pathway; membrane; regulation of cytokine production; signaling receptor binding,Mouse
ENSMUSP00000127152,ENSMUSG00000062148,Ear6,"eosinophil-associated, ribonuclease A family, member 6 [Source:MGI Symbol;Acc:MGI:1890463]",RNA nuclease activity; chemotaxis; defense response to Gram-positive bacterium; endonuclease activity; extracellular space; hydrolase activity; innate immune response in mucosa; nuclease activity; nucleic acid binding,Mouse
ENSMUSP00000127193,ENSMUSG00000046709,Mapk10,mitogen-activated protein kinase 10 [Source:MGI Symbol;Acc:MGI:1346863],ATP binding; JNK cascade; JUN kinase activity; MAP kinase activity; MAPK cascade; cytoplasm; kinase activity; nucleotide binding; nucleus; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; regulation of circadian rhythm; rhythmic process; transferase activity,Mouse
ENSMUSP00000127297,ENSMUSG00000030325,Klrb1c,killer cell lectin-like receptor subfamily B member 1C [Source:MGI Symbol;Acc:MGI:107538],carbohydrate binding; identical protein binding; membrane; natural killer cell activation; plasma membrane; positive regulation of natural killer cell mediated cytotoxicity; regulation of natural killer cell mediated cytotoxicity; signaling receptor activity,Mouse
ENSMUSP00000127328,ENSMUSG00000079227,Ccr5,C-C motif chemokine receptor 5 [Source:MGI Symbol;Acc:MGI:107182],G protein-coupled receptor activity; G protein-coupled receptor signaling pathway; chemokine receptor activity; chemokine-mediated signaling pathway; chemotaxis; membrane; plasma membrane; signal transduction,Mouse
ENSMUSP00000127338,ENSMUSG00000023944,Hsp90ab1,"heat shock protein 90 alpha (cytosolic), class B member 1 [Source:MGI Symbol;Acc:MGI:96247]",ATP binding; ATP hydrolysis activity; protein folding; unfolded protein binding,Mouse
ENSMUSP00000127347,ENSMUSG00000049214,Skint7,selection and upkeep of intraepithelial T cells 7 [Source:MGI Symbol;Acc:MGI:3041190],T cell activation; T cell receptor signaling pathway; membrane; regulation of T cell activation; regulation of cytokine production; regulation of leukocyte cell-cell adhesion; signaling receptor binding,Mouse
ENSMUSP00000127373,ENSMUSG00000024680,Ms4a2,"membrane-spanning 4-domains, subfamily A, member 2 [Source:MGI Symbol;Acc:MGI:95495]",Fc-epsilon receptor I complex; IgE binding; cell surface receptor signaling pathway; immune response; membrane; membrane raft; plasma membrane; signal transduction,Mouse
ENSMUSP00000127375,ENSMUSG00000026029,Casp8,caspase 8 [Source:MGI Symbol;Acc:MGI:1261423],CD95 death-inducing signaling complex; Noc1p-Noc2p complex; angiogenesis; animal organ development; apoptotic process; apoptotic signaling pathway; cardiac muscle tissue development; cell differentiation; chordate embryonic development; cysteine-type endopeptidase activity; cysteine-type peptidase activity; cytoplasm; endopeptidase activity; execution phase of apoptosis; extrinsic apoptotic signaling pathway; heart development; hepatocyte apoptotic process; hydrolase activity; macrophage differentiation; mitochondrion; negative regulation of necroptotic process; neural tube formation; nucleus; peptidase activity; plasma membrane; positive regulation of apoptotic process; positive regulation of execution phase of apoptosis; positive regulation of extrinsic apoptotic signaling pathway; positive regulation of neuron apoptotic process; positive regulation of signal transduction; protein binding; protein maturation; protein processing; protein-containing complex; proteolysis; proteolysis involved in protein catabolic process; pyroptotic inflammatory response; regulation of apoptotic process; regulation of apoptotic signaling pathway; regulation of cytokine production; regulation of immune system process; regulation of innate immune response; ripoptosome; self proteolysis,Mouse
ENSMUSP00000127531,ENSMUSG00000032109,Nlrx1,NLR family member X1 [Source:MGI Symbol;Acc:MGI:2429611],ATP binding; immune system process; innate immune response; membrane; mitochondrial outer membrane; mitochondrion; negative regulation of RIG-I signaling pathway; negative regulation of canonical NF-kappaB signal transduction; negative regulation of inflammatory response; negative regulation of innate immune response; nucleotide binding; protein binding,Mouse
ENSMUSP00000127607,ENSMUSG00000021709,Erbin,Erbb2 interacting protein [Source:MGI Symbol;Acc:MGI:1890169],anchoring junction; cell junction; hemidesmosome; membrane; nuclear membrane; nucleus; plasma membrane; protein binding; regulation of gene expression,Mouse
ENSMUSP00000127700,ENSMUSG00000046688,Tifa,TRAF-interacting protein with forkhead-associated domain [Source:MGI Symbol;Acc:MGI:2182965],cytoplasm; cytoplasmic pattern recognition receptor signaling pathway; immune system process; innate immune response; positive regulation of canonical NF-kappaB signal transduction; protein binding; protein homooligomerization; tumor necrosis factor-mediated signaling pathway,Mouse
ENSMUSP00000127880,ENSMUSG00000021624,Cd180,CD180 antigen [Source:MGI Symbol;Acc:MGI:1194924],,Mouse
ENSMUSP00000127921,ENSMUSG00000100549,Ifna11,interferon alpha 11 [Source:MGI Symbol;Acc:MGI:109210],B cell activation involved in immune response; T cell activation involved in immune response; adaptive immune response; cytokine activity; cytokine receptor binding; defense response; defense response to virus; extracellular region; extracellular space; humoral immune response; natural killer cell activation; negative regulation of cell population proliferation; response to exogenous dsRNA; signal transduction; type I interferon receptor binding; type I interferon-mediated signaling pathway,Mouse
ENSMUSP00000127927,ENSMUSG00000022471,Xrcc6,X-ray repair complementing defective repair in Chinese hamster cells 6 [Source:MGI Symbol;Acc:MGI:95606],,Mouse
ENSMUSP00000127941,ENSMUSG00000026288,Inpp5d,inositol polyphosphate-5-phosphatase D [Source:MGI Symbol;Acc:MGI:107357],"apoptotic process; cytoplasm; cytoskeleton; cytosol; determination of adult lifespan; hydrolase activity; immune system process; immunoglobulin mediated immune response; inositol-1,3,4,5-tetrakisphosphate 5-phosphatase activity; inositol-polyphosphate 5-phosphatase activity; intracellular signal transduction; lipid metabolic process; membrane; membrane raft; negative regulation of B cell activation; negative regulation of B cell proliferation; negative regulation of granulocyte differentiation; negative regulation of immune response; negative regulation of natural killer cell mediated cytotoxicity; negative regulation of osteoclast differentiation; negative regulation of signal transduction; phosphatase activity; phosphatidylinositol dephosphorylation; phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity; phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity; plasma membrane; positive regulation of B cell differentiation; positive regulation of apoptotic process; positive regulation of lymphocyte differentiation; protein binding; regulation of immune response",Mouse
ENSMUSP00000128025,ENSMUSG00000017002,Slpi,secretory leukocyte peptidase inhibitor [Source:MGI Symbol;Acc:MGI:109297],defense response to bacterium; extracellular region; peptidase inhibitor activity,Mouse
ENSMUSP00000128100,ENSMUSG00000022514,Il1rap,interleukin 1 receptor accessory protein [Source:MGI Symbol;Acc:MGI:104975],cytokine-mediated signaling pathway; hydrolase activity; inflammatory response; interleukin-1 receptor activity; membrane; signal transduction,Mouse
ENSMUSP00000128113,ENSMUSG00000042250,Pglyrp4,peptidoglycan recognition protein 4 [Source:MGI Symbol;Acc:MGI:2686324],antimicrobial humoral immune response mediated by antimicrobial peptide; biological process involved in interaction with host; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; immune system process; innate immune response; killing of cells of another organism; peptidoglycan binding; peptidoglycan catabolic process; protein heterodimerization activity; protein-containing complex; zinc ion binding,Mouse
ENSMUSP00000128204,ENSMUSG00000079685,Ulbp1,UL16 binding protein 1 [Source:MGI Symbol;Acc:MGI:1925027],membrane; natural killer cell lectin-like receptor binding; plasma membrane; positive regulation of immune response to tumor cell; positive regulation of macrophage activation; positive regulation of nitric oxide biosynthetic process,Mouse
ENSMUSP00000128208,ENSMUSG00000056917,Sipa1,signal-induced proliferation associated gene 1 [Source:MGI Symbol;Acc:MGI:107576],GTPase activator activity; cytoplasm; endomembrane system; membrane; nucleus; perinuclear region of cytoplasm; protein binding; regulation of small GTPase mediated signal transduction,Mouse
ENSMUSP00000128215,ENSMUSG00000071068,Treml2,triggering receptor expressed on myeloid cells-like 2 [Source:MGI Symbol;Acc:MGI:2147038],membrane; plasma membrane,Mouse
ENSMUSP00000128277,ENSMUSG00000026070,Il18r1,interleukin 18 receptor 1 [Source:MGI Symbol;Acc:MGI:105383],immune response; inflammatory response; interleukin-18 receptor activity; interleukin-18-mediated signaling pathway; membrane,Mouse
ENSMUSP00000128345,ENSMUSG00000028163,Nfkb1,"nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105 [Source:MGI Symbol;Acc:MGI:97312]","B cell receptor signaling pathway; DNA binding; DNA-binding transcription factor activity; DNA-binding transcription factor activity, RNA polymerase II-specific; DNA-binding transcription repressor activity, RNA polymerase II-specific; JNK cascade; MAPK cascade; NF-kappaB p50/p65 complex; RNA polymerase II cis-regulatory region sequence-specific DNA binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; apoptotic process; cellular response to cytokine stimulus; cellular response to dsRNA; cellular response to interleukin-17; cellular response to lipopolysaccharide; cellular response to tumor necrosis factor; cellular response to virus; chromatin binding; cytoplasm; cytosol; gene expression; identical protein binding; lymph node development; mammary gland involution; negative regulation of DNA-templated transcription; negative regulation of cytokine production; negative regulation of inflammatory response; negative regulation of transcription by RNA polymerase II; nucleus; positive regulation of DNA-templated transcription; positive regulation of macromolecule biosynthetic process; positive regulation of transcription by RNA polymerase II; positive regulation of transcription initiation by RNA polymerase II; protein binding; protein-containing complex; regulation of DNA-templated transcription; regulation of gene expression; response to muscle stretch; sequence-specific DNA binding; signal transduction; transcription cis-regulatory region binding; transcription coregulator activity; transcription regulator complex",Mouse
