ProteinID,GeneID,GeneSymbol,Description,GO_Terms,Species
ENSMUSP00000013949,ENSMUSG00000032000,Birc3,baculoviral IAP repeat-containing 3 [Source:MGI Symbol;Acc:MGI:1197007],apoptotic process; cellular response to tumor necrosis factor; cytoplasm; cytosol; metal ion binding; negative regulation of necroptotic process; nucleoplasm; nucleus; positive regulation of protein polyubiquitination; positive regulation of protein ubiquitination; protein-containing complex; protein-containing complex binding; regulation of apoptotic process; regulation of necroptotic process; regulation of non-canonical NF-kappaB signal transduction; regulation of reactive oxygen species metabolic process; spermatogenesis; transferase activity; ubiquitin-protein transferase activity; zinc ion binding,Mouse
ENSMUSP00000014290,ENSMUSG00000026786,Apbb1ip,amyloid beta precursor protein binding family B member 1 interacting protein [Source:MGI Symbol;Acc:MGI:1861354],anchoring junction; cell projection; cytoplasm; cytoskeleton; cytosol; focal adhesion; lamellipodium; membrane; plasma membrane; positive regulation of cell adhesion; protein binding; signal transduction,Mouse
ENSMUSP00000014421,ENSMUSG00000055204,Ankrd17,ankyrin repeat domain 17 [Source:MGI Symbol;Acc:MGI:1932101],RNA binding; blood vessel maturation; chromatin; chromatin binding; cytoplasm; defense response to bacterium; endoderm development; immune system process; innate immune response; male germ cell nucleus; negative regulation of smooth muscle cell differentiation; nucleic acid binding; nucleus; positive regulation of G1/S transition of mitotic cell cycle; positive regulation of MDA-5 signaling pathway; positive regulation of RIG-I signaling pathway; positive regulation of canonical NF-kappaB signal transduction; positive regulation of cell cycle; protein binding; regulation of DNA replication,Mouse
ENSMUSP00000014578,ENSMUSG00000059481,Plg,plasminogen [Source:MGI Symbol;Acc:MGI:97620],apolipoprotein binding; biological process involved in interaction with symbiont; blood coagulation; endopeptidase activity; enzyme binding; extracellular matrix; extracellular matrix disassembly; extracellular region; extracellular space; fibrinolysis; glutamatergic synapse; hemostasis; hydrolase activity; kinase binding; labyrinthine layer blood vessel development; mononuclear cell migration; muscle cell cellular homeostasis; myoblast differentiation; negative regulation of angiogenesis; negative regulation of cell-substrate adhesion; negative regulation of fibrinolysis; peptidase activity; positive regulation of blood vessel endothelial cell migration; positive regulation of fibrinolysis; protease binding; protein antigen binding; protein domain specific binding; protein processing; protein-folding chaperone binding; proteolysis; serine-type endopeptidase activity; serine-type peptidase activity; signaling receptor binding; tissue regeneration; tissue remodeling; trophoblast giant cell differentiation,Mouse
ENSMUSP00000014597,ENSMUSG00000014453,Blk,B lymphoid kinase [Source:MGI Symbol;Acc:MGI:88169],ATP binding; B cell receptor signaling pathway; cell differentiation; cell surface receptor protein tyrosine kinase signaling pathway; cytosol; kinase activity; membrane; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; peptidyl-tyrosine phosphorylation; plasma membrane; positive regulation of insulin secretion; protein binding; protein kinase activity; protein phosphorylation; protein tyrosine kinase activity; signaling receptor binding; transferase activity,Mouse
ENSMUSP00000014686,ENSMUSG00000014542,Clec4f,"C-type lectin domain family 4, member f [Source:MGI Symbol;Acc:MGI:1859834]",carbohydrate binding; endocytosis; membrane,Mouse
ENSMUSP00000014743,ENSMUSG00000014599,Csf1,colony stimulating factor 1 (macrophage) [Source:MGI Symbol;Acc:MGI:1339753],CSF1-CSF1R complex; Ras protein signal transduction; branching involved in mammary gland duct morphogenesis; cell surface receptor protein tyrosine kinase signaling pathway; cytokine activity; developmental process involved in reproduction; extracellular region; extracellular space; growth factor activity; homeostasis of number of cells within a tissue; identical protein binding; immune system process; inflammatory response; innate immune response; macrophage colony-stimulating factor receptor binding; macrophage colony-stimulating factor signaling pathway; macrophage differentiation; macrophage homeostasis; mammary duct terminal end bud growth; mammary gland fat development; membrane; microglial cell proliferation; monocyte differentiation; monocyte homeostasis; myeloid leukocyte migration; neutrophil homeostasis; nuclear body; osteoclast differentiation; osteoclast proliferation; perinuclear region of cytoplasm; plasma membrane; positive regulation of Ras protein signal transduction; positive regulation of cell population proliferation; positive regulation of cell-matrix adhesion; positive regulation of gene expression; positive regulation of leukocyte migration; positive regulation of macrophage colony-stimulating factor signaling pathway; positive regulation of macrophage differentiation; positive regulation of macrophage migration; positive regulation of microglial cell migration; positive regulation of mononuclear cell proliferation; positive regulation of multicellular organism growth; positive regulation of odontogenesis of dentin-containing tooth; positive regulation of osteoclast differentiation; positive regulation of protein metabolic process; protein binding; protein homodimerization activity; regulation of ossification; response to ischemia,Mouse
ENSMUSP00000014917,ENSMUSG00000014773,Dll1,delta like canonical Notch ligand 1 [Source:MGI Symbol;Acc:MGI:104659],Notch binding; Notch signaling pathway; Notch signaling pathway involved in arterial endothelial cell fate commitment; Tat protein binding; adherens junction; anchoring junction; animal organ morphogenesis; astrocyte development; calcium ion binding; cell communication; cell differentiation; cell fate commitment; cell-cell junction; cell-cell signaling; cerebellar Purkinje cell layer structural organization; cerebellar molecular layer formation; clathrin-dependent endocytosis; compartment pattern specification; cytoplasmic vesicle; determination of left/right symmetry; embryo development ending in birth or egg hatching; embryonic morphogenesis; endothelial tip cell fate specification; endothelium development; energy homeostasis; epithelial cell development; epithelial tube morphogenesis; eye morphogenesis; heart looping; hemocyte differentiation; in utero embryonic development; inhibition of neuroepithelial cell differentiation; inner ear development; lateral inhibition; left/right axis specification; loop of Henle development; membrane; membrane raft; multicellular organism development; multicellular organismal-level homeostasis; myeloid cell differentiation; negative regulation of Notch signaling pathway; negative regulation of cardiac muscle cell differentiation; negative regulation of cell differentiation; negative regulation of cell population proliferation; negative regulation of developmental process; negative regulation of epithelial cell differentiation; negative regulation of glial cell apoptotic process; negative regulation of hemocyte differentiation; negative regulation of multicellular organismal process; negative regulation of myeloid cell differentiation; negative regulation of myoblast differentiation; negative regulation of neuron differentiation; nephron development; nervous system development; neuroepithelial cell differentiation; neuron differentiation; neuron fate specification; neuronal stem cell population maintenance; nucleus; odontogenesis of dentin-containing tooth; organ growth; plasma membrane; positive regulation of cell population proliferation; positive regulation of endocytosis; positive regulation of gene expression; positive regulation of skeletal muscle tissue growth; positive regulation of sprouting angiogenesis; positive regulation of transcription by RNA polymerase II; protein binding; proximal tubule development; proximal/distal pattern formation; receptor ligand activity; regionalization; regulation of biological quality; regulation of blood pressure; regulation of cell adhesion; regulation of cell division; regulation of developmental growth; regulation of growth; regulation of macromolecule metabolic process; regulation of neurogenesis; regulation of primary metabolic process; regulation of skeletal muscle tissue growth; regulation of somitogenesis; regulation of transport; regulation of vascular endothelial growth factor receptor signaling pathway; regulation of vascular endothelial growth factor signaling pathway; renal tubule development; retina development in camera-type eye; retina morphogenesis in camera-type eye; scaffold protein binding; skeletal muscle tissue growth; skin epidermis development; somite specification; somitogenesis; spinal cord development; type B pancreatic cell development; vasculature development,Mouse
ENSMUSP00000015137,ENSMUSG00000029674,Limk1,LIM domain kinase 1 [Source:MGI Symbol;Acc:MGI:104572],ATP binding; actin cytoskeleton organization; axon extension; cell junction; cell projection; cytoplasm; cytoskeleton; cytosol; focal adhesion; glutamatergic synapse; heat shock protein binding; kinase activity; lamellipodium; male germ cell nucleus; membrane; metal ion binding; neuron projection; nuclear speck; nucleotide binding; nucleus; positive regulation of actin filament bundle assembly; positive regulation of axon extension; positive regulation of stress fiber assembly; postsynapse; protein binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; stress fiber assembly; transferase activity; ubiquitin ligase inhibitor activity; ubiquitin protein ligase binding,Mouse
ENSMUSP00000015227,ENSMUSG00000015083,C8g,"complement component 8, gamma polypeptide [Source:MGI Symbol;Acc:MGI:88237]",complement activation; extracellular region; membrane attack complex,Mouse
ENSMUSP00000015484,ENSMUSG00000015340,Cybb,"cytochrome b-245, beta polypeptide [Source:MGI Symbol;Acc:MGI:88574]",FAD binding; NADPH oxidase complex; cellular response to L-glutamine; cellular response to cadmium ion; cellular response to ethanol; cellular response to hypoxia; cytoplasm; defense response; dendrite; electron transfer activity; flavin adenine dinucleotide binding; heme binding; hydrogen peroxide biosynthetic process; hypoxia-inducible factor-1alpha signaling pathway; inflammatory response; innate immune response; membrane; metal ion binding; mitochondrion; monoatomic ion channel complex; monoatomic ion transmembrane transport; monoatomic ion transport; neuronal cell body; nuclear envelope; oxidoreductase activity; perinuclear endoplasmic reticulum; phagocytic vesicle; plasma membrane; positive regulation of angiogenesis; protein binding; protein heterodimerization activity; response to aldosterone; response to angiotensin; response to ethanol; response to nutrient; response to xenobiotic stimulus; superoxide metabolic process,Mouse
ENSMUSP00000015499,ENSMUSG00000015355,Cd48,CD48 antigen [Source:MGI Symbol;Acc:MGI:88339],extracellular region; leukocyte activation; membrane; membrane raft; plasma membrane; side of membrane,Mouse
ENSMUSP00000015540,ENSMUSG00000015396,Cd83,CD83 antigen [Source:MGI Symbol;Acc:MGI:1328316],"CD4-positive, alpha-beta T cell differentiation; immune system process; membrane; plasma membrane; positive regulation of CD4-positive, alpha-beta T cell differentiation",Mouse
ENSMUSP00000015581,ENSMUSG00000015437,Gzmb,granzyme B [Source:MGI Symbol;Acc:MGI:109267],T cell mediated cytotoxicity; apoptotic process; ceramide biosynthetic process; cytolytic granule; cytoplasm; cytosol; defense response to bacterium; extracellular region; extracellular space; hydrolase activity; killing of cells of another organism; lysosome; membrane; peptidase activity; plasma membrane repair; protein binding; protein maturation; protein secretion; proteolysis; proteolysis involved in protein catabolic process; pyroptotic inflammatory response; serine-type endopeptidase activity; serine-type peptidase activity,Mouse
ENSMUSP00000015583,ENSMUSG00000040314,Ctsg,cathepsin G [Source:MGI Symbol;Acc:MGI:88563],antibacterial humoral response; caspase binding; cellular response to lipopolysaccharide; chemotaxis; cytoplasm; cytosol; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; defense response to fungus; extracellular region; extracellular space; heparin binding; hydrolase activity; lysosome; membrane; negative regulation of T cell activation; neutrophil-mediated killing of gram-positive bacterium; nucleus; peptidase activity; plasma membrane; platelet activation; positive regulation of immune response; positive regulation of platelet aggregation; protein binding; protein maturation; protein processing; proteolysis; receptor ligand activity; response to lipopolysaccharide; secretory granule; serine-type endopeptidase activity; serine-type peptidase activity; signal transduction,Mouse
ENSMUSP00000015596,ENSMUSG00000015452,Ager,advanced glycosylation end product-specific receptor [Source:MGI Symbol;Acc:MGI:893592],"DNA binding; DNA damage response; DNA repair; DNA replication; RNA binding; S100 protein binding; amyloid-beta binding; astrocyte activation; astrocyte development; cell adhesion; cell junction; cell projection; cellular response to amyloid-beta; cellular response to oxygen-containing compound; early endosome; endosome; extracellular region; fibrillar center; glucose mediated signaling pathway; histone binding; identical protein binding; induction of positive chemotaxis; inflammatory response; laminin receptor activity; learning or memory; membrane; microglial cell activation; negative regulation of blood circulation; negative regulation of long-term synaptic depression; negative regulation of long-term synaptic potentiation; negative regulation of multicellular organismal process; neuron projection development; nucleus; phagocytic cup; phagocytosis; plasma membrane; positive regulation of DNA metabolic process; positive regulation of DNA-templated DNA replication; positive regulation of JNK cascade; positive regulation of amyloid precursor protein catabolic process; positive regulation of chemokine production; positive regulation of cytokine production; positive regulation of dendritic cell differentiation; positive regulation of double-strand break repair; positive regulation of endothelin production; positive regulation of heterotypic cell-cell adhesion; positive regulation of locomotion; positive regulation of monocyte chemotactic protein-1 production; positive regulation of monocyte extravasation; positive regulation of non-canonical NF-kappaB signal transduction; positive regulation of p38MAPK cascade; protein binding; protein localization to membrane; protein-containing complex binding; regulation of CD4-positive, alpha-beta T cell activation; regulation of T cell mediated cytotoxicity; regulation of inflammatory response; regulation of long-term synaptic potentiation; regulation of p38MAPK cascade; regulation of spontaneous synaptic transmission; response to amyloid-beta; response to hypoxia; signaling receptor activity; transcytosis; transport across blood-brain barrier",Mouse
ENSMUSP00000015664,ENSMUSG00000028111,Ctsk,cathepsin K [Source:MGI Symbol;Acc:MGI:107823],collagen binding; collagen catabolic process; cysteine-type endopeptidase activity; cysteine-type peptidase activity; extracellular region; extracellular space; fibronectin binding; hydrolase activity; lysosome; membrane; negative regulation of cartilage development; nucleoplasm; peptidase activity; plasma membrane; proteoglycan binding; proteolysis; proteolysis involved in protein catabolic process; thyroid hormone generation,Mouse
ENSMUSP00000015667,ENSMUSG00000038642,Ctss,cathepsin S [Source:MGI Symbol;Acc:MGI:107341],adaptive immune response; antigen processing and presentation of exogenous peptide antigen via MHC class II; antigen processing and presentation of peptide antigen; basement membrane disassembly; cellular response to thyroid hormone stimulus; collagen binding; collagen catabolic process; cysteine-type endopeptidase activity; cysteine-type peptidase activity; extracellular space; fibronectin binding; hydrolase activity; laminin binding; late endosome; lysosome; peptidase activity; phagocytic vesicle; protein processing; proteoglycan binding; proteolysis; proteolysis involved in protein catabolic process; regulation of antigen processing and presentation; response to acidic pH,Mouse
ENSMUSP00000015800,ENSMUSG00000015656,Hspa8,heat shock protein 8 [Source:MGI Symbol;Acc:MGI:105384],"A1 adenosine receptor binding; ADP binding; ATP binding; ATP hydrolysis activity; G1/S transition of mitotic cell cycle; Prp19 complex; RNA binding; RNA splicing; asymmetric synapse; autophagosome; autophagy; axo-dendritic transport; axon; cellular response to cadmium ion; cellular response to heat; cerebellum development; chaperone-mediated autophagy; chaperone-mediated autophagy translocation complex disassembly; clathrin coat disassembly; clathrin-uncoating ATPase activity; cytoplasm; cytosol; dendrite; dendritic shaft; dendritic spine; enzyme binding; estrous cycle; forebrain development; glutamatergic synapse; heat shock protein binding; hydrolase activity; intermediate filament; kidney development; late endosomal microautophagy; late endosome; late endosome lumen; lipid binding; lysosomal matrix; lysosomal membrane; lysosome; mRNA processing; mRNA splicing, via spliceosome; membrane; microtubule; modulation by host of viral process; myelin sheath; negative regulation of DNA-templated transcription; neuron spine; neuronal cell body; nucleolus; nucleotide binding; nucleus; peptide binding; perikaryon; perinuclear region of cytoplasm; phosphatidylserine binding; photoreceptor inner segment; plasma membrane; positive regulation by host of viral genome replication; positive regulation of T cell mediated cytotoxicity; positive regulation of gene expression; positive regulation of lysosomal membrane permeability; positive regulation of mRNA splicing, via spliceosome; positive regulation of phagocytosis; positive regulation of protein refolding; positive regulation of proteolysis; postsynapse; postsynaptic density; presynapse; prostaglandin binding; protein binding; protein folding; protein folding chaperone; protein import into nucleus; protein targeting to lysosome involved in chaperone-mediated autophagy; protein transmembrane import into intracellular organelle; protein-containing complex; protein-containing complex disassembly; protein-macromolecule adaptor activity; regulation of cell cycle; regulation of postsynapse organization; regulation of protein complex stability; response to activity; response to estradiol; response to ethanol; response to nickel cation; response to odorant; response to progesterone; response to starvation; response to xenobiotic stimulus; ribonucleoprotein complex; signaling receptor binding; skeletal muscle tissue development; slow axonal transport; spliceosomal complex; synaptic vesicle; terminal bouton; unfolded protein binding",Mouse
ENSMUSP00000015981,ENSMUSG00000015837,Sqstm1,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931],P-body; aggrephagy; amphisome; apoptotic process; autolysosome; autophagosome; autophagy; cell differentiation; cytoplasm; cytoplasmic vesicle; cytosol; endoplasmic reticulum; endosome; endosome organization; energy homeostasis; identical protein binding; immune system process; inclusion body; intracellular membraneless organelle; ionotropic glutamate receptor binding; late endosome; lysosome; macroautophagy; membraneless organelle assembly; metal ion binding; mitochondrion; mitophagy; molecular condensate scaffold activity; negative regulation of ferroptosis; negative regulation of protein ubiquitination; negative regulation of transcription by RNA polymerase II; nucleus; positive regulation of long-term synaptic potentiation; positive regulation of protein localization to plasma membrane; protein binding; protein catabolic process; protein import into nucleus; protein kinase C binding; protein localization to perinuclear region of cytoplasm; protein targeting to vacuole involved in autophagy; protein-macromolecule adaptor activity; regulation of canonical NF-kappaB signal transduction; sarcomere; sperm midpiece; temperature homeostasis; transcription by RNA polymerase II; transcription coregulator activity; ubiquitin binding; ubiquitin-modified protein reader activity; zinc ion binding,Mouse
ENSMUSP00000015998,ENSMUSG00000015854,Cd5l,CD5 antigen-like [Source:MGI Symbol;Acc:MGI:1334419],apoptotic process; cytoplasm; extracellular region; immune system process; inflammatory response; membrane; plasma membrane; positive regulation of complement-dependent cytotoxicity; regulation of complement activation,Mouse
ENSMUSP00000016094,ENSMUSG00000015950,Ncf1,neutrophil cytosolic factor 1 [Source:MGI Symbol;Acc:MGI:97283],cytoplasm; membrane; phosphatidylinositol binding; protein binding; reactive oxygen species biosynthetic process,Mouse
ENSMUSP00000016110,ENSMUSG00000015966,Il17rb,interleukin 17 receptor B [Source:MGI Symbol;Acc:MGI:1355292],cytokine receptor activity; cytokine-mediated signaling pathway; cytoplasm; extracellular region; interleukin-17 receptor activity; membrane; plasma membrane; positive regulation of inflammatory response; protein binding,Mouse
ENSMUSP00000016143,ENSMUSG00000029636,Wasf3,"WASP family, member 3 [Source:MGI Symbol;Acc:MGI:2658986]",Arp2/3 complex binding; SCAR complex; actin binding; actin cytoskeleton organization; cytoplasm; cytoskeleton; cytoskeleton organization; glial cell projection; glutamatergic synapse; lamellipodium; lamellipodium assembly; lamellipodium organization; oligodendrocyte development; positive regulation of Arp2/3 complex-mediated actin nucleation; positive regulation of myelination; postsynapse; protein kinase A regulatory subunit binding; regulation of cell shape,Mouse
ENSMUSP00000016168,ENSMUSG00000016024,Lbp,lipopolysaccharide binding protein [Source:MGI Symbol;Acc:MGI:1098776],acute-phase response; cell surface pattern recognition receptor signaling pathway; cellular response to lipopolysaccharide; cellular response to lipoteichoic acid; coreceptor activity; defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; defense response to bacterium; extracellular region; extracellular space; immune system process; innate immune response; leukocyte chemotaxis involved in inflammatory response; lipid binding; lipid transport; lipopeptide binding; lipopolysaccharide binding; lipopolysaccharide transport; lipopolysaccharide-mediated signaling pathway; lipoteichoic acid binding; membrane; neutrophil chemotaxis; opsonization; positive regulation of chemokine production; positive regulation of macrophage activation; positive regulation of neutrophil chemotaxis; positive regulation of respiratory burst involved in inflammatory response; positive regulation of toll-like receptor 4 signaling pathway; response to lipopolysaccharide; signaling receptor binding,Mouse
ENSMUSP00000016463,ENSMUSG00000016319,Slc25a5,"solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 5 [Source:MGI Symbol;Acc:MGI:1353496]",ATP:ADP antiporter activity; B cell differentiation; MMXD complex; adaptive thermogenesis; adenine nucleotide transmembrane transporter activity; adenine nucleotide transport; antiporter activity; cellular response to leukemia inhibitory factor; chromosome segregation; erythrocyte differentiation; membrane; mitochondrial ATP transmembrane transport; mitochondrial inner membrane; mitochondrial permeability transition pore complex; mitochondrion; myelin sheath; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway; positive regulation of cell population proliferation; positive regulation of mitophagy; protein binding; proton transmembrane transport; proton transmembrane transporter activity; regulation of mitochondrial membrane permeability; transmembrane transport; ubiquitin protein ligase binding,Mouse
ENSMUSP00000016498,ENSMUSG00000027579,Srms,src-related kinase lacking C-terminal regulatory tyrosine and N-terminal myristylation sites [Source:MGI Symbol;Acc:MGI:101865],ATP binding; TORC1 signaling; cell differentiation; cell surface receptor protein tyrosine kinase signaling pathway; cellular response to nutrient levels; cytoplasm; kinase activity; negative regulation of TORC1 signaling; non-membrane spanning protein tyrosine kinase activity; nucleotide binding; peptidyl-tyrosine autophosphorylation; plasma membrane; positive regulation of TORC1 signaling; proteasome-mediated ubiquitin-dependent protein catabolic process; protein binding; protein deubiquitination; protein kinase activity; protein phosphorylation; protein tyrosine kinase activity; signaling receptor binding; transferase activity,Mouse
ENSMUSP00000016511,ENSMUSG00000038751,Ptk6,PTK6 protein tyrosine kinase 6 [Source:MGI Symbol;Acc:MGI:99683],ATP binding; cell differentiation; cell migration; cell projection; cell surface receptor protein tyrosine kinase signaling pathway; cellular response to retinoic acid; cytoplasm; cytosol; identical protein binding; intestinal epithelial cell differentiation; kinase activity; membrane; negative regulation of growth; non-membrane spanning protein tyrosine kinase activity; nuclear body; nucleoplasm; nucleotide binding; nucleus; plasma membrane; positive regulation of neuron projection development; protein autophosphorylation; protein binding; protein kinase activity; protein phosphorylation; protein tyrosine kinase activity; ruffle; signaling receptor binding; transferase activity; tyrosine phosphorylation of STAT protein,Mouse
ENSMUSP00000016638,ENSMUSG00000016494,Cd34,CD34 antigen [Source:MGI Symbol;Acc:MGI:88329],RNA polymerase II-specific DNA-binding transcription factor binding; carbohydrate binding; cell adhesion; cell motility; cell periphery; cell-cell adhesion; cell-matrix adhesion; cytoplasm; endothelial cell proliferation; endothelium development; extracellular exosome assembly; extracellular region; glomerular endothelium development; glomerular filtration; hematopoietic stem cell proliferation; hemopoiesis; intercellular bridge; leukocyte migration; lysosome; membrane; mesangial cell-matrix adhesion; metanephric glomerular mesangial cell differentiation; negative regulation of gene expression; perinuclear region of cytoplasm; plasma membrane; positive regulation of angiogenesis; positive regulation of gene expression; positive regulation of granulocyte colony-stimulating factor production; positive regulation of odontogenesis; positive regulation of vasculogenesis; signal transduction; stem cell proliferation; sulfate binding; tissue homeostasis; transdifferentiation; vascular wound healing,Mouse
ENSMUSP00000016640,ENSMUSG00000016496,Cd274,CD274 antigen [Source:MGI Symbol;Acc:MGI:1926446],"T cell costimulation; TRIF-dependent toll-like receptor signaling pathway; actin cytoskeleton; adaptive immune response; cell surface receptor signaling pathway; cellular response to lipopolysaccharide; early endosome membrane; endosome; immune response; immune system process; membrane; negative regulation of CD4-positive, alpha-beta T cell proliferation; negative regulation of CD8-positive, alpha-beta T cell activation; negative regulation of T cell activation; negative regulation of T cell mediated immune response to tumor cell; negative regulation of T cell proliferation; negative regulation of activated T cell proliferation; negative regulation of tumor necrosis factor superfamily cytokine production; nucleoplasm; plasma membrane; positive regulation of DNA-templated transcription; positive regulation of T cell proliferation; positive regulation of activated CD8-positive, alpha-beta T cell apoptotic process; protein binding; receptor ligand activity; recycling endosome membrane; response to cytokine; signal transduction; transcription coactivator activity",Mouse
ENSMUSP00000016672,ENSMUSG00000016528,Mapkapk2,MAP kinase-activated protein kinase 2 [Source:MGI Symbol;Acc:MGI:109298],3'-UTR-mediated mRNA stabilization; ATP binding; DNA damage response; MAPK cascade; calcium-dependent protein serine/threonine kinase activity; calcium/calmodulin-dependent protein kinase activity; calmodulin binding; cellular response to vascular endothelial growth factor stimulus; centrosome; ciliary basal body; cytoplasm; cytosol; inflammatory response; inner ear development; intracellular signal transduction; kinase activity; mRNA stabilization; macropinocytosis; mitogen-activated protein kinase binding; nucleoplasm; nucleotide binding; nucleus; p38MAPK cascade; positive regulation of macrophage cytokine production; protein binding; protein kinase activity; protein phosphorylation; protein serine/threonine kinase activity; response to cytokine; response to lipopolysaccharide; toll-like receptor signaling pathway; transferase activity; vascular endothelial growth factor receptor signaling pathway,Mouse
ENSMUSP00000016673,ENSMUSG00000016529,Il10,interleukin 10 [Source:MGI Symbol;Acc:MGI:96537],branching involved in labyrinthine layer morphogenesis; cellular response to estradiol stimulus; cellular response to hepatocyte growth factor stimulus; cellular response to lipopolysaccharide; cytokine activity; defense response to bacterium; defense response to protozoan; extracellular region; extracellular space; immune response; interleukin-10 receptor binding; liver regeneration; negative regulation of B cell proliferation; negative regulation of MHC class II biosynthetic process; negative regulation of apoptotic process; negative regulation of autophagy; negative regulation of cell population proliferation; negative regulation of chronic inflammatory response to antigenic stimulus; negative regulation of cytokine production; negative regulation of cytokine production involved in immune response; negative regulation of endothelial cell apoptotic process; negative regulation of heterotypic cell-cell adhesion; negative regulation of inflammatory response; negative regulation of membrane protein ectodomain proteolysis; negative regulation of myeloid dendritic cell activation; negative regulation of neuron apoptotic process; negative regulation of nitric oxide biosynthetic process; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway; negative regulation of vascular associated smooth muscle cell proliferation; positive regulation of B cell apoptotic process; positive regulation of DNA-templated transcription; positive regulation of MHC class II biosynthetic process; positive regulation of cell cycle; positive regulation of cytokine production; positive regulation of endothelial cell proliferation; positive regulation of immunoglobulin production; positive regulation of macrophage activation; positive regulation of miRNA transcription; positive regulation of plasma cell differentiation; positive regulation of receptor signaling pathway via JAK-STAT; positive regulation of sprouting angiogenesis; positive regulation of transcription by RNA polymerase II; protein dimerization activity; regulation of gene expression; regulation of response to wounding; regulation of synapse organization; response to activity; response to carbon monoxide; response to glucocorticoid; response to inactivity; response to lipopolysaccharide; response to molecule of bacterial origin; response to xenobiotic stimulus,Mouse
ENSMUSP00000016771,ENSMUSG00000022443,Myh9,"myosin, heavy polypeptide 9, non-muscle [Source:MGI Symbol;Acc:MGI:107717]","ADP binding; ATP binding; COP9 signalosome; Golgi apparatus; actin binding; actin cytoskeleton; actin cytoskeleton organization; actin filament binding; actin filament-based movement; actomyosin; actomyosin contractile ring; actomyosin structure organization; adherens junction; angiogenesis; blood vessel endothelial cell migration; brush border; calmodulin binding; cell adhesion; cell cortex; cell leading edge; cell morphogenesis; cell motility; cell-cell adhesion; cortical cytoskeleton; cortical granule; cortical granule exocytosis; cytokinetic process; cytoplasm; cytoplasmic actin-based contraction involved in cell motility; cytoplasmic side of plasma membrane; cytoplasmic vesicle; cytoskeletal motor activity; cytoskeleton; cytoskeleton organization; cytosol; endodermal cell differentiation; establishment of T cell polarity; establishment of meiotic spindle localization; focal adhesion; identical protein binding; immunological synapse; in utero embryonic development; integrin binding; lysosome localization; meiotic spindle organization; membrane protein ectodomain proteolysis; microfilament motor activity; monocyte differentiation; myoblast fusion; myosin II complex; myosin II filament; myosin complex; myosin filament; negative regulation of actin filament severing; neuromuscular junction; nuclear body; nucleotide binding; nucleus; phagocytosis, engulfment; plasma membrane; plasma membrane repair; platelet formation; positive regulation of protein processing in phagocytic vesicle; protein binding; protein domain specific binding; protein homodimerization activity; protein transport; protein-containing complex; protein-membrane adaptor activity; regulated exocytosis; regulation of actin filament-based process; regulation of cell shape; regulation of plasma membrane repair; ruffle; spindle; stress fiber; symbiont entry into host cell; uropod; uropod organization; virus receptor activity",Mouse
ENSMUSP00000017453,ENSMUSG00000017309,Cd300lg,CD300 molecule like family member G [Source:MGI Symbol;Acc:MGI:1289168],IgM binding; endosome; immune system process; membrane; plasma membrane; signal transduction; transmembrane signaling receptor activity,Mouse
ENSMUSP00000017488,ENSMUSG00000017344,Vtn,vitronectin [Source:MGI Symbol;Acc:MGI:98940],Golgi lumen; basement membrane; cell adhesion; cell adhesion mediated by integrin; cell differentiation; cell migration; cell-matrix adhesion; collagen binding; endodermal cell differentiation; endoplasmic reticulum; extracellular matrix; extracellular matrix binding; extracellular matrix organization; extracellular matrix structural constituent; extracellular region; extracellular space; heparin binding; identical protein binding; immune response; integrin binding; integrin-mediated signaling pathway; liver regeneration; negative regulation of blood coagulation; negative regulation of fibrinolysis; negative regulation of proteolysis; oligodendrocyte differentiation; peptidase inhibitor complex; polysaccharide binding; positive regulation of cell-substrate adhesion; positive regulation of integrin-mediated signaling pathway; positive regulation of receptor-mediated endocytosis; positive regulation of smooth muscle cell migration; positive regulation of vascular endothelial growth factor signaling pathway; protein complex involved in cell-matrix adhesion; protein polymerization; regulation of cell adhesion; rough endoplasmic reticulum lumen; scavenger receptor activity; smooth muscle cell-matrix adhesion; vesicle-mediated transport,Mouse
ENSMUSP00000017530,ENSMUSG00000017386,Traf4,TNF receptor associated factor 4 [Source:MGI Symbol;Acc:MGI:1202880],WW domain binding; activation of NF-kappaB-inducing kinase activity; anchoring junction; apoptotic process; bicellular tight junction; cell surface receptor signaling pathway; cytoplasm; cytoskeleton; cytosol; enzyme binding; fibrillar center; identical protein binding; immune system process; innate immune response; membrane; metal ion binding; nucleoplasm; nucleus; perinuclear region of cytoplasm; plasma membrane; positive regulation of JNK cascade; positive regulation of protein kinase activity; proteasome-mediated ubiquitin-dependent protein catabolic process; protein binding; protein kinase binding; regulation of apoptotic process; regulation of canonical NF-kappaB signal transduction; respiratory gaseous exchange by respiratory system; respiratory tube development; signal transduction; signaling adaptor activity; transferase activity; tumor necrosis factor receptor binding; ubiquitin protein ligase binding; zinc ion binding,Mouse
